563111
/m/02qc82
/m/02qc82
Jan Potocki


18thcentury 1
a 8
about 1
again 1
all 1
alphonse 1
an 1
ancient 1
and 16
antecedents 1
arabian 1
around 1
as 4
avadoro 1
bce 1
beautiful 1
because 1
becomes 1
being 1
between 1
brave 1
bulk 1
cabbalist 2
cast 1
celebrated 1
change 1
characters 1
chief 1
collects 1
colorful 1
comparison 1
connections 1
conspiracy 2
correspondences 1
course 1
cover 1
cultures 1
days 2
decameron 1
deep 1
depth 1
disguise 1
echoes 1
emina 1
en 1
entirely 1
erotic 1
especially 1
eventually 1
farranging 1
fascination 1
favorable 1
few 1
focus 1
foolhardy 1
found 1
frame 3
genres 1
geometer 1
gothic 1
guard 1
gypsies 1
gypsy 1
hallucinated 1
his 1
historical 1
honor 1
hundred 1
imagines 1
in 5
including 1
inquisitors 1
interests 1
interlocking 1
intertwining 1
involving 1
its 1
itself 1
jatakas 1
large 1
levels 1
literary 1
madrid 1
manuscript 1
many 1
medieval 1
meets 1
metamorphosis 1
moorish 1
moral 1
morena 1
mountains 1
moves 1
muslim 1
narrative 1
narrator 1
nights 1
novel 5
of 8
or 4
oriental 1
others 1
over 2
overshadow 1
panchatantra 1
part 1
perhaps 2
philosophic 1
picaresque 1
potocki 1
princesses 1
prominent 1
quickly 1
range 1
reach 1
reads 1
recounted 1
recur 1
reflects 1
revealing 1
revolve 1
rich 1
route 1
saragossa 1
secret 1
set 1
several 1
shape 1
sierra 1
sister 1
sixtysix 2
so 1
societies 1
society 1
sometimes 1
spain 2
stories 5
storieswithinstories 1
story 4
structure 1
subjects 1
such 1
supernatural 1
that 1
the 27
them 1
themes 2
thieves 1
throughout 1
to 3
told 1
toward 1
two 1
underground 1
van 3
varied 1
walloon 1
well 1
while 1
whole 2
whose 1
wide 1
with 2
worden 3
zubeida 1
