3297573
/m/0941vr
/m/0941vr
Michael Chabon
2004-11-09
3 1
a 6
able 1
actual 1
added 1
after 2
agrees 1
all 1
along 1
although 2
an 1
and 9
anglican 1
another 1
anyone 1
are 6
around 1
at 2
attachment 1
author 1
be 1
because 2
behavior 1
being 1
bellows 1
better 1
between 1
biggest 1
bird 2
book 4
boy 7
british 1
bruno 3
but 2
by 3
call 1
calls 1
chabon 1
chance 1
chapter 2
character 2
classic 1
clear 1
code 1
crack 1
deduces 1
description 1
dinner 2
discovers 1
doyle 1
drei 1
dumbness 1
eins 1
else 2
encounter 2
end 1
endeavor 1
ending 1
england 1
even 1
ever 1
everyone 1
family 2
find 3
five 1
fnf 1
for 2
foreign 1
found 1
four 1
from 2
german 2
germanjewish 1
germany 1
given 1
gone 1
habit 1
has 1
have 1
he 3
heightens 1
help 1
hint 3
his 5
holmes 2
if 1
implications 1
implied 1
in 10
indeed 1
inspector 1
intensely 1
interest 1
interested 1
introduced 1
is 11
it 5
kind 1
later 1
learned 1
linus 2
local 2
lodger 2
lodgers 1
man 4
may 1
meaning 1
michael 1
military 1
missing 1
modelled 1
moments 1
morning 1
mr 2
much 1
murdered 1
murderer 1
mysteries 1
mystery 1
neither 2
next 1
no 1
nor 2
not 1
notice 1
null 1
numbers 5
numeral 1
obergruppenfhrer 1
obvious 1
of 11
off 1
office 1
often 1
old 4
on 2
one 4
only 3
opens 1
order 1
other 1
out 2
parrot 6
penultimate 1
perspective 1
piqued 1
plot 1
presence 1
pretends 1
priest 2
quickly 1
ratiocination 1
rattling 1
reason 1
recited 1
recruits 1
refugee 1
revealed 1
says 1
seeks 1
separate 1
seven 2
shane 3
should 1
shoulder 1
sieben 2
significance 1
sitting 2
so 1
solution 1
solve 2
some 2
son 1
song 2
speculates 1
staying 1
steinman 1
still 1
stories 1
story 2
strange 1
succeeds 1
suspicions 1
table 1
that 6
the 53
their 1
then 1
there 2
though 1
three 1
title 1
to 9
told 1
train 1
trains 1
true 1
two 3
used 1
vier 1
visit 1
voice 1
way 1
we 4
well 1
what 1
where 1
which 3
while 1
who 1
wife 1
will 1
with 2
you 1
young 1
zwei 1
