21712727
/m/05mrd_0
/m/05mrd_0
Paul Laurence Dunbar
1902
{"/m/05hgj": "Novel"}
a 17
able 1
about 2
acquaintance 1
actress 1
after 1
alcoholic 1
all 1
an 5
and 16
announce 1
apologetic 1
article 1
artist 1
artistic 1
as 3
at 3
away 1
back 1
banner 2
be 2
become 1
becomes 2
been 1
begins 2
begs 1
believes 1
berry 16
black 1
breaks 1
brings 1
broken 1
brother 2
butler 1
by 1
can 1
carries 1
children 2
city 1
club 3
colonel 1
completely 1
confesses 1
converse 1
conviction 1
convinced 1
convinces 1
cottage 3
could 1
court 1
dating 1
daughter 1
decide 2
decides 1
declines 1
degraded 1
describes 1
dinner 1
disappeared 1
disapproval 1
dismay 1
distance 1
distraught 1
down 1
during 1
emancipated 1
employment 1
entertainer 1
entry 1
expel 1
fannie 7
farewell 1
fight 1
find 2
finds 4
first 1
five 1
for 7
forcibly 1
fortune 1
francis 7
from 7
gain 1
gibson 2
guilty 1
hamilton 4
hard 1
hardships 1
has 2
hattie 4
have 2
having 1
he 12
helps 1
her 2
him 3
himself 2
his 7
hometown 1
honor 1
hopeless 1
hopes 1
how 1
husband 2
if 1
in 8
informing 1
innocence 2
innocent 1
into 1
is 4
it 3
joe 6
killed 1
kitty 4
known 1
labor 1
large 1
later 1
left 1
letter 4
lies 1
lives 2
lost 1
man 4
marry 1
maurice 10
meets 1
message 2
money 5
move 2
mr 7
mrs 1
murder 2
named 3
near 1
new 5
not 1
oakley 11
of 12
once 1
out 1
overhears 1
pardoned 1
paris 1
place 1
plans 1
pocket 2
popular 1
postulates 2
preserving 1
prison 4
protect 1
prove 1
publisher 1
quickly 1
racetrack 1
receives 1
regularly 1
relationship 1
released 1
removes 1
residence 4
return 1
saunders 1
secret 3
sends 1
sentences 1
short 1
simply 1
singer 1
situation 1
skaggs 6
small 1
son 2
soon 2
starts 1
sterling 1
stole 2
story 1
strangles 1
successes 1
suitor 1
sum 1
tells 1
ten 1
that 7
the 26
theft 2
them 1
times 1
to 23
travels 1
two 1
unable 1
universe 1
visiting 1
was 1
wealthy 1
when 2
white 1
who 2
wife 4
will 2
wishes 1
with 5
work 2
works 1
writer 1
years 2
york 4
younger 1
