1349940
/m/04vtvn
/m/04vtvn
David Lodge
2004-10-07
a 10
about 3
account 1
acquaintances 1
all 2
alleged 1
allows 1
also 1
american 1
among 1
an 4
and 20
annoys 1
any 1
are 5
artistic 1
as 5
astonishes 1
at 1
attempt 1
attract 1
attracting 1
author 1
back 1
baffles 1
be 2
beast 1
been 1
begin 1
beginning 1
belief 1
bernard 1
bestselling 1
between 3
body 1
book 2
books 2
both 2
built 1
but 3
by 3
can 1
cartoonist 1
catastrophe 1
commits 1
comparable 1
conjecture 1
connection 1
constance 1
continued 1
critical 1
crude 1
death 1
depiction 1
described 1
detail 1
deteriorating 1
device 1
dimension 1
discovering 1
distance 1
driven 1
du 4
during 1
dying 1
employer 1
england 1
entertaining 1
entire 1
expatriation 1
explore 1
eyesight 1
faded 1
failure 1
famous 1
feeling 1
feelings 2
fenimore 1
fiction 1
figures 1
final 1
finally 1
financial 1
for 4
formed 1
framing 1
friendship 2
from 3
funny 1
garnered 1
george 2
given 1
great 1
group 1
had 1
happening 1
has 2
have 3
he 2
her 3
here 1
hero 1
hg 1
him 3
himself 2
his 9
historical 1
homage 1
home 1
house 1
humiliating 1
i 1
if 1
important 1
in 11
inadequacy 1
includes 1
including 1
interest 1
interesting 1
introduced 1
ironic 1
is 8
italy 1
james 14
jungle 1
know 1
large 1
larger 1
leads 1
life 3
lifelong 1
literary 2
literature 1
little 1
livelihood 1
lodge 3
london 2
long 2
louis 1
magazine 1
marked 1
maurier 4
meanwhile 1
meet 1
middle 1
might 1
more 1
most 1
much 1
notorious 1
novel 4
novelist 1
now 3
obscurity 1
obsessed 1
obsession 1
of 17
one 3
opaque 1
opening 1
opens 1
or 1
own 2
paranoid 1
period 1
play 1
popular 1
portrait 1
position 1
proceed 1
producing 1
productive 1
prolifically 1
proper 1
provides 1
prudishness 1
public 1
punch 1
quest 1
readers 1
readership 1
reading 1
real 1
relationship 2
reputation 1
rescue 1
robert 1
romantic 1
secure 1
seen 1
sense 1
servant 1
set 1
shaw 1
shown 1
sincere 1
somewhat 1
staff 1
stage 1
stevenson 1
stories 1
story 2
subtly 1
success 2
suggests 1
suicide 1
taken 1
takes 1
than 1
that 3
the 24
their 2
there 2
this 4
those 1
threatens 1
time 2
to 11
traveling 1
trilby 3
unconsummated 1
unknown 1
up 1
upon 1
view 1
virginity 1
war 1
we 5
wells 1
what 4
wherein 1
which 1
while 2
whose 1
will 1
with 4
wonder 1
woolson 2
work 1
world 2
worldwide 1
write 2
writing 1
years 1
yet 1
