7319547
/m/025z0_w
/m/025z0_w
Mercedes Lackey
2004
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 46
abandoning 1
about 6
accept 1
accepts 1
adapting 1
adopts 1
after 6
again 2
against 2
agree 1
agrees 3
ahead 2
alive 1
all 15
allies 2
allow 1
along 2
already 2
also 2
amazing 1
amintia 1
an 4
ancaladar 6
ancaldar 1
and 133
andcladar 1
andoreniel 1
angry 2
anigerel 6
another 1
answered 1
any 5
anyway 1
approval 1
are 27
argument 1
armethalieh 8
army 19
around 4
arrive 4
as 13
ask 4
asks 4
at 7
atop 1
atroist 3
attack 7
attacked 1
attacks 1
awake 1
away 3
back 13
badly 1
bandages 1
banish 1
banned 1
barely 3
bat 1
battle 1
battling 1
be 8
beautiful 1
because 17
become 2
been 2
before 6
befriended 1
begin 1
begins 2
being 2
belepheriel 2
believe 1
bigger 1
blames 2
blocks 1
bond 2
bonding 1
bonds 1
bones 1
booby 1
boundary 1
brings 1
burn 1
burning 1
but 21
by 5
camp 2
can 7
cannot 1
cant 5
castrate 1
catch 1
caught 3
cave 6
cavern 1
caves 3
celibate 1
centaur 3
centaurs 4
center 1
challenges 1
chamber 1
chance 1
change 1
changing 1
chaste 1
children 12
cilaren 2
cilarenne 1
cilarnen 29
cities 1
city 14
civilians 1
cliff 1
cloak 4
close 1
closes 1
closest 1
collapse 1
come 8
comes 5
coming 2
command 2
commanders 2
completely 1
confronts 1
contact 1
control 1
controlling 1
could 4
council 7
creature 1
creatures 1
crowed 2
crystal 5
cure 1
cures 1
curious 1
cut 1
daughter 1
day 4
dead 3
deal 1
dealing 1
death 3
debate 1
debates 1
decide 2
decided 1
decides 5
decline 1
declines 1
deep 1
defeated 1
defend 1
demand 1
demon 6
demonic 1
demons 10
despondent 1
destroy 1
did 5
die 1
died 1
dies 2
differently 1
discover 1
discussing 1
disobeyed 1
distraction 2
divides 1
do 9
does 8
doing 1
done 3
down 1
dragon 2
dragons 2
draw 2
drawn 1
draws 1
due 2
duel 1
duergar 1
duergars 1
each 1
early 1
easily 2
elf 23
elfgoblin 1
elven 11
elves 42
emptied 1
end 1
endarkened 4
entrance 1
entrances 1
escape 2
escorted 1
even 3
eventually 1
ever 1
everything 4
everywhere 1
evil 1
except 1
exit 1
eyes 1
falls 2
farmtowns 1
father 6
fears 1
feast 3
features 1
fight 6
find 5
finding 1
finds 9
fire 3
first 10
fit 1
fled 1
flies 1
fly 1
folk 3
follow 1
food 1
for 22
forgive 1
fortress 4
found 1
friend 1
friends 4
from 5
gain 1
gardner 2
general 1
gesade 3
get 21
gets 7
getting 1
gift 1
give 1
gives 2
giving 3
go 21
goblin 1
goblins 2
goes 7
going 4
gone 1
grand 1
great 1
group 1
groups 1
grudgingly 1
had 1
half 2
halfelf 1
halfgoblin 1
hands 4
happen 1
happened 1
happy 3
harsh 1
has 23
hate 2
hates 3
have 12
having 1
he 65
head 1
heading 1
heads 1
heal 2
healing 1
heals 3
held 1
help 12
helps 2
her 10
heroes 1
hesitant 1
hidden 1
hides 1
hiding 3
high 3
him 32
himself 2
his 25
home 1
horns 2
house 1
how 8
however 4
human 1
hundreds 2
hunt 3
hurt 1
hyandur 3
hybrids 1
ice 1
idalia 30
ideas 1
if 10
impatient 1
in 40
including 4
inhuman 1
injured 1
inside 3
inspect 1
instead 2
into 6
invisibility 1
invisible 1
is 56
it 18
item 1
jermayan 22
jeryman 1
join 1
just 1
kardus 3
keep 1
kellen 67
kellensend 1
key 2
kicked 1
kidnapped 2
kill 12
killed 1
killing 1
kills 2
kind 1
kisses 1
knight 1
knighthood 1
knightmage 1
knightmages 1
knights 8
know 3
knowing 1
knowledge 1
lady 1
lairamo 2
land 1
lands 11
large 1
last 2
lead 1
leader 3
learning 1
least 1
leave 5
leaves 4
leaving 1
left 1
less 1
let 2
life 4
light 1
like 1
likes 1
limits 1
link 2
linked 1
live 3
lives 3
locate 1
long 1
look 2
looks 1
lost 1
love 1
loves 4
lure 1
lycaelon 4
made 1
mage 10
mages 12
magic 12
magical 2
make 2
makes 3
making 4
male 1
males 1
man 2
managed 1
many 1
map 1
married 1
marry 1
master 1
mean 1
means 1
meanwhile 2
meet 3
meeting 1
meets 6
members 2
men 1
merryville 3
messenger 1
miles 1
