20317528
/m/04_0w8f
/m/04_0w8f
Daniel Silva
2002-06-20
{"/m/01jfsb": "Thriller", "/m/06wkf": "Spy fiction"}
a 18
abandon 1
about 1
accepts 2
accompany 1
accompanying 1
admits 1
affair 2
after 1
agent 2
alerts 1
alhourani 1
all 1
allons 1
allows 1
also 1
although 1
ambassador 1
an 4
and 25
angry 1
apartment 1
apparent 1
arafat 5
are 1
ari 2
arrangement 1
arrive 1
art 2
as 9
assassin 2
assassinate 1
assassination 1
assisted 1
associate 1
at 2
bait 1
be 1
becomes 1
been 2
begins 2
believes 1
between 2
blows 1
body 1
bomb 1
bonard 1
both 1
bug 1
building 1
but 2
by 2
calmly 1
can 1
car 1
career 1
careful 1
celebrate 1
chest 1
city 1
closely 2
complete 1
compromised 1
concerned 1
concocted 1
confronts 1
consistency 1
conspiratorial 1
continue 1
could 1
cover 1
coverage 1
creating 1
crime 1
cut 1
dani 1
day 1
death 1
decide 1
decides 2
declining 1
delacroix 1
departmental 1
design 1
designs 1
destruction 1
died 1
diplomat 1
diplomatic 2
director 2
directors 1
disappears 1
discovers 1
disguised 1
dominique 1
doorstep 1
double 1
due 1
eludes 1
england 2
escaped 1
europe 1
event 1
explains 1
familiarity 1
family 1
familys 1
fateful 1
female 1
few 1
finds 1
finish 1
for 9
forced 1
former 1
french 1
from 4
gabriel 26
gabrielfamily 1
gabriels 1
grieves 1
gunpoint 1
had 2
halvy 1
hand 1
handpicks 1
has 5
hastily 1
have 2
he 9
her 8
him 3
himself 2
his 15
horrifying 1
however 1
identity 2
imprints 1
in 14
indeed 1
insists 3
instantly 1
intends 1
interactions 1
into 2
is 10
israel 2
israelis 1
israels 3
it 2
its 2
jacqueline 12
jacquelines 2
just 3
keep 1
keys 1
kill 2
killed 1
killer 1
kills 1
knit 1
knows 1
lacks 1
last 1
late 1
later 3
leah 2
left 1
let 1
life 1
likewise 1
live 1
local 1
located 1
love 2
lure 1
made 1
major 1
make 1
making 1
market 1
markings 1
massacre 1
mastermind 1
meanwhile 1
media 1
member 2
memberby 1
mere 1
mind 1
minister 1
mission 1
modeling 1
momentous 1
munich 1
murdered 1
must 1
navot 2
ne 1
necessary 1
needs 1
new 2
nine 1
not 1
nyc 1
of 9
off 1
office 6
on 5
once 1
one 3
operation 3
operations 2
operative 1
operatives 2
organization 1
other 1
over 1
palestinians 1
paris 1
peace 1
phone 1
plan 3
planting 1
plot 2
pm 2
poured 1
previous 1
previously 1
prime 1
professed 1
profession 1
professional 1
prove 1
pull 1
pursues 1
qubec 1
questions 1
realizes 2
realizing 1
recognizes 1
recounts 1
recovers 1
recovery 1
reinstates 1
relationship 1
relocate 1
restorer 2
result 1
returns 1
role 1
safety 1
sarah 1
scene 1
searching 1
secret 2
secreted 1
secure 1
security 1
seduces 1
sees 1
set 1
seventeen 1
shamron 7
shamrons 2
shattered 1
she 2
shoots 1
shortly 2
shows 1
smuggles 1
so 1
son 1
southern 2
spearhead 1
spearheaded 1
spots 1
stand 1
states 1
step 1
still 1
supermodel 1
support 1
supposedly 1
surveillance 1
suspects 1
target 1
tariq 16
tariqs 2
team 1
terrorist 1
that 16
the 31
their 1
then 1
thereafter 1
therefore 1
these 1
this 2
three 1
through 1
ties 1
to 21
too 1
took 1
towards 1
tries 1
trip 1
two 1
unapologetic 1
under 1
unfulfilling 1
united 1
unmasking 1
until 1
up 2
upon 1
upper 1
urges 2
use 1
uzi 1
vengeance 1
very 1
vienna 2
wants 1
warns 1
was 3
weekend 1
when 1
where 3
while 1
who 1
whole 1
wife 1
with 6
witnessed 1
wizened 1
worked 1
working 1
wouldbe 1
wound 1
yasser 1
years 2
york 1
yusef 8
yusefs 1
zones 1
