20294367
/m/04zzvnk
/m/04zzvnk
Javier Marías
1998
18 1
a 10
all 2
and 5
as 1
author 1
autobiography 1
back 1
be 2
begins 1
book 1
bookshop 1
brother 1
bullet 1
but 1
by 3
called 1
characters 1
child 1
clef 1
curse 1
dark 1
died 1
dons 1
effects 1
existed 1
false 1
fiction 1
fiercely 1
figures 1
fretful 1
further 1
ghostly 1
halls 1
havana 1
have 1
his 1
in 2
into 1
is 2
its 2
kingdom 1
legendary 1
literary 1
loss 1
lost 1
maintain 1
maps 1
maras 2
mexico 1
mirrors 1
mother 1
motion 1
never 1
novel 2
odd 1
of 6
oneeyed 1
owners 1
oxford 2
photographs 1
pilot 1
professors 1
publishing 1
reallife 1
recognized 1
roman 1
sardonic 1
set 1
sleepy 1
souls 2
stirs 1
strange 1
swears 1
tale 1
that 1
the 6
themselves 1
things 1
time 1
to 2
together 1
up 1
weaving 1
which 1
who 2
with 2
witty 1
world 2
