24638632
/m/04xdr30
/m/04xdr30
Monte Cook

a 11
absorbed 1
abyss 2
across 1
adherents 1
adventure 2
adventures 1
again 1
against 1
ago 2
aid 1
all 1
although 1
an 4
and 17
another 1
arborea 1
argesh 1
around 2
artifact 1
as 2
astral 4
attempt 1
away 1
back 1
banishing 1
base 1
be 2
become 2
been 3
before 1
began 3
being 1
between 1
body 2
bought 1
brought 1
built 1
buried 1
bury 1
but 1
by 2
called 2
came 1
can 2
centuries 1
changed 1
chapters 1
characters 3
chose 1
church 1
city 2
clues 1
composed 1
conclude 1
consists 2
conspired 1
construct 1
consume 1
control 1
corpse 2
cruigh 1
darkness 2
day 1
dead 3
death 2
demipower 1
demonic 1
died 1
disappeared 2
discover 1
discovered 1
down 1
drow 3
dungeon 1
each 1
energy 1
enough 2
even 2
eventually 1
everyone 1
factions 1
fat 1
fighter 1
fiord 2
five 1
follow 1
followers 2
foment 1
for 7
force 1
forgotten 2
form 2
former 1
fortress 1
found 1
from 4
gain 1
gather 1
god 4
goddess 1
gods 1
grown 1
had 6
happened 1
has 1
he 6
her 1
him 3
himself 1
his 15
if 1
in 12
inattentive 1
information 1
into 3
investigate 1
is 2
it 2
keep 1
kiaransalee 2
last 4
later 1
lay 1
less 1
life 1
light 2
long 2
lord 2
magical 1
making 1
man 1
manathas 1
many 1
master 1
matter 1
minor 1
modrons 3
monument 2
much 1
multiverse 1
must 3
name 2
named 2
negative 1
new 1
nine 1
notsodistant 1
of 27
old 1
on 6
one 2
orcus 6
order 1
ordered 1
out 3
pandemonium 1
parts 1
past 1
pieces 1
place 1
plane 6
planes 1
played 1
player 2
plot 1
plots 1
position 1
potent 1
power 1
powerful 2
preparations 1
prevent 1
primus 2
raised 1
rather 1
realm 2
religion 2
resolve 1
restored 1
resurrection 1
returned 1
revenge 2
reviving 1
revolve 1
scheme 1
search 2
secretly 1
sent 1
separately 1
servants 1
shadowy 1
sigil 2
significance 1
situation 1
slay 2
slew 1
small 1
some 3
sought 1
standing 3
stir 1
stone 1
stones 3
stood 1
stop 1
succeed 1
supplanting 1
take 1
takes 1
tanarri 1
tear 1
temple 1
tenebrous 4
than 2
the 54
theme 1
then 1
they 2
thin 1
this 2
those 1
three 1
time 3
to 23
together 1
too 1
towards 1
truly 1
two 4
uncover 1
undead 3
unknown 1
unreachable 1
until 2
used 2
using 3
vacant 1
vault 1
vengeance 2
visages 1
wand 5
war 2
was 2
wealthy 1
were 1
what 1
when 2
which 2
who 3
wife 1
word 3
workmen 3
worshippers 1
woven 1
years 1
yet 1
