5143917
/m/0d4t0m
/m/0d4t0m
Judith Viorst
1972-06
{"/m/0dwly": "Children's literature"}
16 1
a 7
act 1
actually 1
alexander 9
also 1
amazing 1
and 11
anthony 3
anymore 1
around 1
assurance 1
at 7
australia 3
australian 1
back 1
bad 1
bath 1
beans 1
becomes 1
bed 1
bedtime 1
best 1
bites 1
blank 1
blue 1
book 1
books 1
boxes 1
breakfast 1
brothers 1
burns 1
buy 1
carpool 1
castle 1
cat 1
cavity 1
cereal 2
choice 1
chooses 1
closes 1
copying 1
criticizes 1
crybaby 1
crying 1
dad 2
days 1
dentist 2
deserts 1
dessert 1
dickens 1
dinner 1
doesnt 2
dont 1
door 1
down 1
dr 1
drain 1
drops 1
elevator 1
ends 2
even 1
everybody 1
everything 1
eyes 1
family 2
fields 1
find 1
fools 1
foot 1
for 4
friend 2
from 2
get 1
gets 1
getting 1
go 1
has 5
hates 3
he 12
him 7
his 12
home 1
hot 1
in 7
into 2
invisible 1
is 4
just 2
kissing 1
leaving 1
like 1
lima 1
live 1
losing 1
loud 1
lunch 1
machine 1
makes 1
marble 1
mess 1
mom 3
moment 1
move 2
mrs 1
much 1
mud 1
new 1
nick 4
nightlight 1
nightmare 1
no 2
not 2
of 7
office 1
on 4
ones 1
out 4
pajamas 2
paper 1
paul 1
people 1
pick 1
picture 1
pillow 1
plain 1
point 1
prizes 1
punching 1
punishes 1
pushes 1
railroad 2
reach 1
red 1
refuses 1
running 1
says 1
school 2
seat 1
sheet 1
shoe 1
singing 1
sink 1
skateboard 1
sleep 1
sneakers 2
so 1
soap 1
sold 1
store 1
stripes 1
sweater 1
takes 1
teacher 1
telephone 1
tells 2
that 1
the 23
their 1
there 3
theyre 1
things 2
third 1
timbuktu 1
time 1
to 12
tongue 1
too 2
train 2
trips 1
tv 1
up 3
versions 1
wakes 1
wants 2
was 1
water 2
way 2
wear 2
when 2
where 1
which 4
while 2
white 1
who 1
window 1
with 5
wonder 1
work 1
zealand 1
