5697849
/m/0d_qf1
/m/0d_qf1
Stanisław Lem
1968
{"/m/06n90": "Science Fiction", "/m/06nbt": "Satire", "/m/06m9m8": "Social science fiction"}
a 24
able 1
about 8
acting 1
actually 1
after 1
agitating 1
ago 2
alien 3
all 4
allegorical 1
an 4
analysis 1
and 19
angle 1
answers 1
any 1
are 8
as 5
at 1
atomic 1
background 1
be 7
becomes 2
been 2
before 1
begin 1
beginning 1
beings 5
between 1
biology 1
blast 2
book 1
bored 1
brought 1
but 1
by 3
called 1
can 2
canis 1
certain 1
codenamed 1
colleagues 1
come 1
comparison 1
conclude 1
conduct 2
consider 2
constellation 1
constrained 1
cosmic 1
cosmology 1
created 1
creating 1
creatures 1
criticize 1
data 1
debates 1
decide 1
decipher 1
deciphering 1
decode 1
description 1
desert 1
desperate 1
deterrence 1
develop 1
digressions 1
dilemma 1
discoverer 1
discoveries 1
discuss 1
discussions 1
disillusioned 1
distance 1
effect 3
effort 1
effortless 1
eggs 3
enable 1
end 2
ended 1
eons 1
epistemology 1
ethical 1
ethics 1
even 1
eventually 1
evil 1
evolutionary 1
exist 1
exposes 1
extraterrestrial 1
face 1
faced 1
failed 1
farsightedness 1
few 2
fiction 1
first 1
firstperson 1
flies 2
for 8
forced 1
form 2
frog 3
from 5
further 1
genome 1
genre 1
glutinous 1
had 1
have 7
himself 1
his 1
hmv 1
hogarth 8
how 1
however 1
human 2
humanity 2
idea 1
ideas 1
impossible 1
in 8
increases 1
increasing 1
indeed 1
information 1
informed 1
insects 1
instantaneous 1
intelligence 1
intelligent 1
into 2
involved 2
is 7
it 3
its 1
itself 1
left 1
lem 2
life 1
like 2
likelihood 1
limitations 1
liquid 1
location 2
long 1
looks 1
lord 2
made 1
magazines 1
make 2
many 2
master 1
mathematical 1
mathematician 1
may 4
meaning 1
meaningful 1
meat 1
memoir 1
memoirs 1
merging 1
message 4
might 4
military 3
militarysponsored 1
minor 1
molecule 1
monkeys 1
monotonous 1
more 4
motives 1
much 1
must 2
name 1
named 2
narrative 1
nature 2
neutrino 2
nevada 1
new 2
nicknamed 1
no 5
noise 1
notifying 1
novel 1
object 1
of 24
on 4
once 1
one 2
opportunity 1
or 4
ostracism 1
out 1
outer 1
pages 1
part 1
pentagondirected 1
peter 1
philosophy 1
planet 1
plots 1
point 1
popular 1
possible 1
possibly 2
presumably 1
probability 1
progress 1
project 3
projecting 1
proof 1
properties 1
protoplasm 1
proximity 1
pulp 1
pursue 2
puzzle 1
random 1
rather 2
read 1
reader 1
real 1
reason 1
red 1
remote 1
research 2
resembled 1
rorschach 1
say 1
science 2
sciencefiction 1
scientists 8
secret 1
seem 1
seems 2
sees 1
senders 1
sent 6
short 2
signal 14
since 1
slab 1
solid 1
some 5
soon 1
space 1
specifically 1
speculation 2
still 1
stories 2
strange 1
subconsciously 1
subject 1
substance 1
suggestion 1
superior 1
sure 3
suspects 1
synthesize 1
systems 1
technologically 1
test 1
than 4
that 12
the 63
their 3
theories 3
theory 4
there 4
they 7
this 4
thousand 2
through 1
throughout 1
time 2
to 16
toward 1
transportation 1
turns 1
two 2
typewriters 1
uncertainty 1
unimaginative 1
unknown 1
unpatriotic 1
unusual 1
unverifiable 1
up 1
use 3
uses 1
variations 1
version 1
very 2
virtuous 1
voice 1
was 1
we 1
were 2
what 1
whatever 1
where 1
whether 5
which 2
while 1
who 3
whom 1
with 7
working 1
would 2
written 1
