23312296
/m/06610j6
/m/06610j6
Sam Shepard

a 15
ability 3
about 2
act 2
actentitled 1
action 1
acts 1
afraid 1
again 1
all 1
allows 1
although 2
always 1
and 11
announces 1
anyone 1
apart 1
apparently 2
are 8
as 4
asking 1
asks 1
at 1
attempted 1
audience 1
be 1
beaujo 1
because 2
become 1
bed 3
been 1
begging 1
begins 1
being 2
bone 2
boss 1
bosses 2
bringing 1
brothers 2
but 5
by 4
can 1
chained 1
cody 15
comes 1
complain 1
concerned 1
cooled 1
cut 1
cutting 1
do 1
doctor 2
dog 2
down 1
dream 1
dreamer 3
dreams 1
dressed 1
else 1
end 1
ends 1
england 1
entitled 1
escape 1
escapes 1
fancier 1
farmers 1
favorite 1
finally 1
fingers 1
first 2
floor 1
food 1
for 3
from 2
gangsters 10
going 1
gone 1
had 1
hardly 1
has 4
he 8
hell 1
him 6
his 5
horses 1
hotel 3
hump 1
if 1
in 13
inserted 1
into 1
invaded 1
is 7
it 1
jason 1
jasper 1
just 1
keep 1
keeps 1
kidnapped 1
kill 1
learns 1
leave 1
local 1
long 1
lost 1
lot 1
lying 1
money 1
mounted 1
much 1
names 1
neck 2
of 7
on 5
once 1
one 1
order 1
out 1
perform 1
person 1
picked 1
place 3
play 4
player 1
plays 1
predict 3
pressure 1
puts 1
race 1
races 3
radio 1
record 4
refer 1
refuse 1
regain 1
rescue 1
room 3
santee 1
says 1
script 1
second 1
see 1
seems 1
series 1
shepard 1
shoot 1
short 1
shotguns 1
shows 1
since 1
sleazy 1
slump 1
some 1
someone 1
specific 1
states 1
still 1
stopped 1
surgery 1
take 1
takes 2
talks 1
that 5
the 35
their 2
them 2
they 9
theyre 1
this 1
threatened 1
time 1
to 17
track 1
try 1
tune 1
two 4
unchained 1
united 1
unlock 1
unlocking 1
up 1
waiter 3
wants 1
was 2
watched 1
watching 1
what 1
where 1
which 4
who 1
will 2
winners 5
with 3
wondering 1
wouldnt 1
wounded 1
zydeco 1
