992863
/m/02p3dsc
/m/02p3dsc
William Gibson
1994-10-06
{"/m/01qpc": "Cyberpunk", "/m/06n90": "Science Fiction", "/m/0c082": "Utopian and dystopian fiction"}
a 16
adhoc 1
advantages 1
after 1
aftermath 1
agent 1
agreement 1
ahead 1
all 2
allowed 1
also 1
among 1
an 2
and 15
another 1
are 3
around 1
as 5
at 1
atop 1
bay 1
because 2
begin 1
berry 1
between 1
bicycle 1
bondsmanbounty 1
bridge 3
but 1
by 2
catch 1
centers 1
chevette 6
circumstances 1
climaxes 1
community 1
company 1
contain 2
contracted 1
cop 1
cops 2
corporate 1
corporation 1
coveted 1
currently 1
danger 2
darkrimmed 1
decide 1
decides 1
demeanor 1
devastating 1
does 1
dwellers 1
earthquake 1
embark 1
employed 1
enemies 1
entirely 1
eventually 2
fight 1
flourish 1
focuses 3
following 1
for 2
forced 1
former 1
francisco 2
franciscooakland 1
from 1
given 1
glasses 6
gold 1
grown 1
happens 1
has 1
have 2
he 2
henchmen 1
her 1
high 1
highly 1
his 4
history 1
hitman 1
home 1
hunter 1
immigrants 1
importance 1
in 5
incisors 1
information 1
informed 1
inherent 1
initially 1
instead 1
interactions 1
intimidating 1
is 8
japanese 1
journey 1
largely 1
lives 2
loveless 2
lucius 1
man 2
meanwhile 1
messenger 1
mission 1
must 1
named 1
nanotechnology 1
nature 1
not 1
of 13
off 2
offended 1
offthegrid 1
old 1
on 6
one 2
orlovsky 3
pair 2
party 1
person 1
plans 1
plot 2
possesses 1
powerful 1
present 1
presumably 1
private 1
pursuers 1
pylons 1
realizes 1
realizing 1
reason 1
rebuild 1
recover 1
relationship 1
remain 1
reside 1
restricted 1
romantic 1
runs 1
russian 1
ruthless 1
rydell 7
san 3
security 2
settlement 1
shack 1
share 1
she 2
shinya 1
shirk 1
side 2
significance 1
situation 1
skinner 1
skiptracer 1
sociologist 1
soon 1
sort 1
steals 1
step 1
studying 1
subplot 3
successful 1
support 1
svobodov 3
technology 1
that 3
the 24
their 4
them 1
they 4
to 8
tracking 1
treacherous 1
turned 1
two 1
unlikely 1
up 1
upon 1
using 1
want 1
warbaby 3
washington 1
wealth 1
well 1
when 2
which 2
whim 1
who 7
whom 1
wild 1
with 7
yamazaki 1
young 1
