14536776
/m/03d6ydb
/m/03d6ydb
Jackie Kay
1998
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 12
accept 1
acceptance 1
accounts 1
actually 1
adopted 1
after 3
all 2
amazing 1
an 3
and 8
apparent 1
argued 1
as 4
at 1
away 2
be 2
became 1
begins 1
bestseller 1
big 2
bitterness 1
book 1
born 1
both 1
but 1
by 1
can 1
character 3
characters 2
colman 4
could 1
couple 1
craving 1
crossed 1
deal 1
deals 1
death 1
decision 1
dies 1
drive 1
eager 1
edith 1
either 1
embodies 1
equalizer 1
even 1
eventually 1
except 1
experiences 1
fame 1
family 1
famous 2
father 4
female 1
figuratively 1
finds 1
follow 1
for 1
give 1
gives 1
grief 1
have 1
he 3
her 1
hide 1
himself 1
his 10
home 2
house 1
husband 1
identity 3
immediately 1
in 3
instrument 1
interestingly 1
into 1
irrelevant 1
is 4
it 3
jazz 1
joss 9
journalist 1
just 1
knew 2
learns 1
lie 1
life 2
literally 1
lived 1
longer 1
love 1
main 2
makes 1
man 1
married 1
memories 1
millie 2
moody 6
moodys 3
moore 1
more 1
mother 1
muddled 1
newfound 1
news 2
next 1
no 2
normal 3
not 3
novel 2
of 6
one 1
opportunity 1
or 4
paparazzi 1
passes 1
paths 1
perceive 1
player 3
powerful 1
private 1
rage 2
reader 1
refers 1
revenge 1
scandal 1
seeks 1
seem 1
serves 1
shock 1
shocking 1
simple 1
slew 1
son 1
soon 1
sophie 1
spills 1
steal 1
surrounds 1
tabloid 1
than 1
that 4
the 22
their 2
they 1
this 2
through 1
time 1
title 2
to 10
trumpet 6
truth 3
turmoil 1
uncovering 1
vacation 2
vents 1
visit 1
was 2
when 1
while 1
whose 1
widow 1
wife 1
with 5
woman 1
world 1
write 1
