31080252
/m/0gg674k
/m/0gg674k
Becca Fitzpatrick

{"/m/01hmnh": "Fantasy", "/m/03mfnf": "Young adult literature", "/m/01qxvh": "Romance novel"}
11 1
a 30
abandoned 1
able 2
about 2
accepts 1
actually 1
address 1
admits 1
advice 1
affair 2
after 4
against 1
agrees 1
aiming 1
also 3
alternative 1
amused 1
amusement 1
an 7
and 53
angel 5
angels 1
angrily 1
answer 1
any 1
apartment 3
apology 1
appears 3
arcade 1
archangels 3
arent 1
argument 1
around 3
arrive 1
arrogant 1
as 6
ask 1
asked 1
asks 3
at 13
attacked 1
attempts 1
away 7
awkwardcasual 1
back 10
bad 1
bands 2
battle 2
be 4
beach 2
because 5
becomes 3
bedroom 1
been 2
beer 1
before 2
beginning 1
begins 1
behind 1
being 2
believe 1
believed 1
believes 1
black 3
blood 1
bo 1
book 1
borrowed 1
both 1
bought 1
boyfriend 1
break 1
breaks 1
breakup 1
brought 1
brushes 2
bumps 1
burst 1
but 10
by 1
calling 1
calls 2
can 3
cannot 2
car 3
careful 1
caressing 1
catches 1
caught 2
cause 1
causes 1
center 1
chain 2
changes 1
chauncey 1
checking 1
clamp 1
clip 1
closer 1
clothing 1
cocky 1
cold 1
colder 1
come 2
comes 1
communicate 1
completely 1
complies 1
concerned 1
conclude 1
confirms 1
confronts 2
containing 1
conversation 1
convinces 1
could 2
crowd 1
curious 1
dad 2
dads 1
danger 1
dark 1
dated 1
day 2
dear 1
decides 4
defeats 1
defy 1
delete 1
deletes 1
delivering 1
delphic 1
demands 1
deserves 1
desire 1
devastated 1
devotes 1
diary 1
die 1
disappears 1
disturbance 1
do 1
doesnt 7
doing 2
done 3
down 1
downfall 1
drag 1
dream 3
dreams 3
drink 1
drives 2
drugged 1
drunk 2
during 1
dynamite 1
each 2
early 1
embrace 1
end 1
ends 1
envelope 1
escape 2
even 1
every 1
everything 2
everywhere 1
evidence 3
explains 1
eye 2
fallen 3
farmhouse 1
father 5
favor 1
favours 1
few 1
fight 2
figure 1
find 4
finding 1
finds 5
fined 1
finger 1
fires 1
follows 2
for 15
forced 1
free 2
friend 2
from 10
gave 1
get 7
gets 3
getting 1
give 1
gives 1
go 5
goes 1
grey 1
ground 1
guardian 3
gun 2
gunfire 1
halfway 1
hall 2
hand 4
hank 4
happened 1
happening 1
happy 1
harm 1
has 7
haunt 1
have 2
having 2
he 34
head 2
heading 1
heads 1
hearing 1
hears 3
heartbroken 1
heat 1
heated 1
hed 1
hell 3
her 61
herself 1
him 25
hints 1
his 11
hold 1
holding 1
home 3
hospital 1
hours 1
house 8
however 1
human 1
if 5
ignoring 1
immortal 1
in 12
information 1
informs 3
innuendos 1
insists 2
intent 1
into 6
investigate 1
invites 2
is 28
isnt 2
it 8
its 1
jaw 2
jealous 1
jeep 4
just 4
keep 1
kill 1
killed 3
killer 1
kiss 2
kisses 1
kissing 1
langeais 1
later 1
leads 1
leash 1
leave 1
leaves 2
leaving 2
let 1
letter 1
library 1
life 1
like 1
living 1
locked 1
longer 1
lose 1
loved 1
loves 3
lunch 1
luring 1
mail 1
make 1
makes 2
manages 1
marcie 24
mayhem 1
media 1
meets 1
member 1
message 2
millar 2
moment 2
money 1
moody 1
more 3
mother 1
mum 1
must 1
neck 1
needs 1
neon 1
nephil 1
nephilim 6
new 2
news 1
next 2
nibbling 1
night 4
no 3
nora 72
not 1
note 1
notices 1
now 2
obsessed 1
of 15
off 5
offer 1
offers 1
old 2
on 7
once 3
only 2
onto 1
or 1
organization 1
other 2
out 11
outside 3
over 2
owes 1
park 1
parking 1
parnell 1
parts 1
party 3
passes 1
past 2
pasta 1
patch 50
patchs 3
people 1
perfect 1
person 1
place 1
planned 1
planted 1
police 2
pool 2
present 1
prevent 1
probably 1
prologue 1
pull 2
pulled 1
pulling 1
pulls 1
punches 1
punching 1
pursues 1
pushes 1
put 2
reaches 1
real 3
realizes 1
realizing 1
really 1
receives 2
receiving 1
refuses 7
refusing 1
rejects 1
relationship 4
remove 2
removes 1
repay 1
reputation 1
resembles 1
respond 2
responding 1
responds 1
return 1
returns 1
right 1
ring 2
rips 1
rixon 13
rixons 1
rob 1
roof 1
room 1
rouge 1
rough 1
run 1
runs 2
ruthless 1
sacrifice 2
sacrificing 1
safe 3
safety 1
same 1
saw 1
says 3
scared 1
scars 1
scott 24
secret 1
secrets 2
see 4
seek 1
seems 2
sees 3
send 1
sent 1
sexual 1
she 56
shed 1
shirt 1
shocked 2
shoots 1
short 1
shot 1
should 1
shows 1
simply 1
since 1
sky 1
smugly 1
snoop 1
snooping 1
so 3
society 1
softly 1
some 3
someone 3
soon 4
space 1
speeding 1
spots 2
standing 1
stay 1
still 1
stood 1
suddenly 1
surround 1
table 1
tabs 1
tackles 1
takes 5
taking 2
talk 1
talking 1
tan 1
telepathically 1
telling 3
tells 11
tempted 1
than 2
thankful 1
that 36
the 65
their 4
them 2
then 9
there 2
they 6
thinking 1
this 1
though 1
through 1
throw 1
time 3
tired 1
to 89
together 1
told 1
touch 1
toward 1
towards 1
townhouse 1
track 1
tricked 1
tries 1
trying 3
tshirt 1
tunnel 1
turn 2
turns 2
two 1
ultimately 1
underground 2
unwilling 1
up 5
upsetting 1
urging 1
use 1
vee 11
very 2
victory 1
visits 2
voice 6
vomits 1
waiting 3
wakes 2
waking 2
want 1
wanted 3
wanting 1
wants 3
was 11
water 2
way 1
well 2
what 1
when 13
where 5
which 4
while 7
whilst 1
whisked 1
who 5
why 3
will 2
window 1
wings 1
winning 1
with 15
without 1
work 1
works 1
worse 2
years 1
