23968534
/m/076w5pj
/m/076w5pj
Caroline Lawrence
2009-06-18
{"/m/0hwxm": "Historical novel"}
24 1
a 20
about 2
acquaintance 1
actually 4
after 3
albanus 1
all 3
although 2
always 1
an 2
and 28
anger 1
any 1
apparent 1
approaches 2
are 3
arena 2
aristo 4
arrives 1
artorius 1
aruva 1
as 4
ascletario 1
ask 1
asks 1
assistance 1
at 3
autopsy 1
away 2
bato 1
be 1
beast 1
beaten 1
been 5
being 2
believes 1
ben 2
beside 1
betrothed 1
black 1
blind 1
boat 1
boy 1
brain 1
bravely 1
brother 1
but 4
by 5
cannot 1
captured 1
cart 1
cartilia 1
chapter 1
children 4
clear 1
clues 1
completely 1
confesses 1
contracts 1
coolly 1
could 1
crowds 1
culprit 1
day 1
death 2
declaration 1
declares 1
decree 1
deductions 1
delphina 2
detectrix 1
diana 1
did 1
died 3
disagree 1
discover 1
disgrace 1
disgusted 1
doctor 2
dog 1
domitian 8
driving 1
drums 1
edict 1
egyptian 1
emperor 5
ephesus 4
exactly 1
exiled 1
explains 2
ezra 1
faints 1
family 2
farewell 1
father 3
feigning 1
fever 2
fight 2
final 2
find 2
finding 1
finds 1
flaccus 7
flavia 17
follow 1
for 5
forced 1
forgiveness 1
framing 1
friends 1
from 2
fuelled 1
gaius 2
give 2
given 2
gives 2
go 4
good 1
groom 1
group 1
guesses 1
had 1
harbour 1
has 8
have 3
he 12
headache 1
hear 1
heartbroken 1
help 2
helped 1
helping 1
helps 2
hephzibah 1
her 13
hilario 1
hills 1
him 4
his 19
home 1
hoping 1
hours 1
house 2
however 1
husbandtobe 1
imperial 1
in 13
including 1
indifference 1
into 1
introduced 1
investigate 2
ironic 1
is 16
issued 1
it 4
italia 2
jason 1
join 1
joined 1
jonathan 10
journey 1
just 1
kill 2
knows 1
lake 1
later 1
lawyer 1
learned 2
leave 1
led 1
like 1
living 1
locked 1
longer 1
looked 1
love 1
loves 1
lupus 3
main 1
man 1
marcus 1
married 1
marry 1
meanwhile 1
meet 1
meets 1
messallinus 1
missing 1
mordecai 3
murder 2
mystery 1
name 2
names 1
nephew 1
never 1
new 1
no 1
not 4
novel 1
now 1
nubia 7
obtain 1
of 6
offers 1
old 1
on 6
once 1
ostia 2
other 1
others 1
out 3
overhears 1
own 1
ox 1
pantomime 1
pardon 1
pardons 1
party 1
people 1
philadelphus 1
pinchas 1
plays 1
poor 1
poplicola 1
popo 1
practicing 1
preparations 1
prepare 1
proclaimed 1
promises 1
prophet 1
protect 1
protecting 1
pulchra 4
rabbit 1
recently 1
recline 1
recognizing 1
remains 1
return 2
returned 1
returns 2
reveal 1
revealed 2
reward 1
road 1
rome 3
run 1
runs 1
sabine 1
sails 1
same 1
samos 1
saw 1
saying 1
search 1
secret 1
see 1
sequence 1
servant 1
set 2
shadow 1
she 4
ship 1
shipwreck 1
shocked 1
small 1
so 1
some 1
soon 1
soothsayer 1
sought 1
stands 1
starved 1
status 1
stepmother 1
still 1
stopped 1
story 1
stunned 1
succeeds 1
suetonius 1
supposed 1
surprised 1
susannah 1
taking 1
tell 1
tells 4
tending 1
that 16
the 36
their 3
them 9
they 5
thing 1
though 1
three 2
through 2
time 2
titus 7
to 35
torturer 1
toward 1
tranquillus 2
trap 1
troupe 1
true 1
truth 1
trying 2
tumour 1
tutor 2
two 1
under 1
up 5
valerius 1
villa 3
vinea 1
warn 1
was 2
watch 1
way 1
wealth 2
wealthy 1
wedding 2
well 1
when 3
where 1
whether 1
which 1
while 3
whilst 1
who 3
whom 3
why 1
will 1
wish 1
with 5
wrong 1
years 1
