4608116
/m/0ccctj
/m/0ccctj
Boris Pasternak
1957
103 1
114 1
115 1
700 1
a 33
abandoned 1
abdication 1
abducted 1
about 1
action 1
addict 1
address 1
adept 1
admit 1
advances 1
advocating 1
affair 2
after 7
ago 1
all 1
allow 1
almost 1
along 1
already 2
also 2
although 2
amalia 5
amount 1
an 2
anarchy 1
and 41
andrei 3
anna 1
another 1
antipov 4
antipovs 1
appeal 1
appointed 1
are 1
army 5
around 1
arrested 1
arrived 1
arrives 1
artillery 1
as 6
ashamed 1
ask 1
assist 1
astonishment 1
at 7
attempts 1
attends 1
austrohungarian 2
away 1
back 1
band 1
battlefield 2
becomes 4
been 4
begin 2
begins 1
begs 1
behind 1
belgian 1
believing 2
besotted 1
best 1
bezprizornaya 1
birth 1
bled 1
body 1
bolshevik 3
book 1
bores 1
both 3
brother 3
brotherhood 1
brutally 1
but 2
by 12
cadet 1
camp 1
can 1
captured 2
carousing 1
caused 1
charity 1
cheka 1
child 2
children 3
christmas 1
civil 2
civilians 1
class 1
cocaine 1
coffin 1
cohabits 1
commander 2
commissar 1
commits 2
confronts 1
connections 2
conscience 1
consequences 1
consummate 1
convince 1
convinces 1
corps 1
corrupt 1
country 1
court 1
cpsu 1
crosshairs 1
daughter 3
dead 1
death 1
debauchery 1
decided 1
decides 1
declared 1
declares 1
declines 1
dedicated 1
deeply 2
deserters 2
deserts 1
despite 3
devastated 1
dies 1
discreet 1
discussions 1
dismay 1
doctor 2
done 1
dont 1
dormant 1
drafted 1
dressmaking 1
drinking 1
dry 1
dudorov 1
duplyanka 1
during 6
eastern 1
edition 1
effective 1
empire 2
encounter 1
engaged 1
engineer 1
enrolls 1
escape 1
escaping 1
escort 1
estate 2
executes 1
expresses 1
expressing 1
extend 1
fallen 2
family 2
far 1
father 2
fathers 1
favor 1
fearsome 1
february 1
feeling 1
feelings 2
feels 1
fellow 1
fervor 1
figures 1
find 1
finds 1
finishes 1
fire 1
first 3
flat 2
flee 1
follow 1
following 4
for 13
forest 1
former 1
formerly 1
foster 2
freeing 1
frenchwoman 1
friend 1
friends 1
from 8
frontline 1
funeral 4
galicia 1
gambled 1
general 4
gentry 1
germany 1
gintz 2
girls 1
glories 1
go 1
gordon 3
governess 1
government 1
graduate 1
great 1
grief 1
gromeiko 2
guerilla 1
guichard 1
guishar 1
gulag 1
half 1
has 10
have 1
having 3
he 17
health 1
her 24
herself 1
high 1
highly 1
him 5
his 21
hospital 2
however 6
hunted 1
husband 1
i 1
ii 2
imperial 2
in 25
increasingly 1
indignant 1
inevitability 1
influence 1
informs 1
infuriated 1
initially 1
insistence 1
instead 3
intense 1
interests 1
into 1
is 14
it 1
its 2
joins 1
joseph 1
journey 2
jumping 1
justice 1
karlovna 1
kologrivov 2
kologrivovs 1
komarovsky 18
land 1
lara 30
later 2
laundress 1
lavrenti 1
lawyer 1
leader 1
learns 2
leave 2
lectures 1
left 1
lend 1
liberius 3
life 2
liturgy 1
local 2
long 2
longwinded 1
loudmouthed 1
love 2
loved 1
lover 1
loves 1
lt 1
manipulate 1
manufacturer 1
many 1
marries 2
marry 1
marxist 2
marya 1
maternal 1
matters 1
meanwhile 6
medical 1
meet 3
meets 1
member 1
men 1
merchant 1
millions 1
minister 1
misha 3
missing 1
moments 1
money 1
morning 1
moscow 6
mother 3
mountains 1
much 2
murdered 1
named 1
narcissistic 1
nature 1
neither 1
never 1
new 1
newly 1
nicholas 1
nika 1
nikolaevna 1
nkvd 1
notorious 1
novel 1
numerous 1
nurse 2
obsessed 1
obtains 1
october 1
of 25
off 1
offers 1
old 3
on 6
one 1
ones 1
ongoing 1
open 1
opens 1
opponents 1
or 2
order 4
orphan 1
orthodox 2
other 2
ourselves 1
out 1
outside 1
over 3
own 1
pain 1
panikhida 1
party 2
pasha 5
paying 1
people 1
permit 1
persuades 2
philosopher 1
physician 1
place 1
plans 1
poems 1
poison 1
political 1
pow 1
prepares 1
pride 1
priest 1
progressively 1
projects 1
prosecution 1
prosecutor 2
provisional 1
puppet 1
purchases 1
purge 1
railway 2
reappears 1
reawaken 1
recent 1
recovery 1
red 1
reform 1
refuse 1
refuses 1
regret 1
relationship 1
repeatedly 1
replace 1
republic 1
resemblance 1
resentment 1
resents 1
return 2
returned 1
returning 2
returns 3
revolution 2
revolutionary 2
revolver 1
revolves 1
rightshe 1
rodion 2
roof 1
rubles 1
ruined 1
russia 3
russian 4
russified 1
russojapanese 1
same 1
save 1
school 2
search 2
secretly 1
section 1
sends 1
senior 2
sensuality 1
sent 1
severs 1
she 3
shield 1
shooter 1
shoots 1
shop 1
shortly 1
siberia 1
sight 1
silk 1
sister 1
sky 1
smuggle 1
socialism 1
