60130
/m/0gc9g
/m/0gc9g
Isaac Asimov
1988-11
a 8
about 2
accepts 1
action 1
actually 1
adopts 1
after 1
agents 1
alike 1
allows 1
almost 1
alone 1
amaryl 1
amazing 1
an 1
and 12
are 3
aristocracy 1
arrives 1
as 1
asks 1
at 3
attempting 1
aurora 1
be 3
become 1
being 1
belief 1
better 1
book 3
but 1
by 5
call 1
capture 2
chetter 1
cleon 4
concludes 1
condition 1
convention 1
convinces 1
convincing 1
dahl 2
daneel 1
decides 1
demerzel 2
detailing 1
determined 1
developing 1
disappointing 1
displays 1
dors 7
during 1
emperor 2
empire 2
encompassed 1
end 2
escape 1
eto 2
evade 1
except 1
expressively 1
fact 1
fighting 1
finale 1
find 1
finds 1
first 2
flight 1
following 1
food 1
for 5
forbidden 1
fortythree 4
forward 1
foundation 1
fourteen 1
from 1
gain 1
galactic 1
goes 1
guttersnipe 1
hair 2
hari 20
have 1
he 2
her 2
him 3
his 4
history 3
home 1
how 1
however 1
hummin 4
i 1
imperative 1
in 8
inquires 2
interview 1
into 1
introduced 1
is 10
it 4
kidnapped 1
killed 1
knife 1
knowledge 1
later 3
leader 1
learn 1
learns 1
make 1
manages 1
mathematics 1
meet 1
meets 1
microfarms 1
might 2
minister 2
move 1
mycogen 3
mycogenian 6
mycogenians 4
named 1
narrowly 1
nick 1
no 1
novel 2
of 14
offended 1
olivaw 1
on 3
out 1
pair 1
paper 1
partner 1
peculiar 1
picked 1
place 1
planet 1
pole 1
political 1
possess 1
possible 1
powerful 1
practical 2
presentation 1
prized 2
product 1
psychohistory 4
r 1
raindrop 4
raych 2
reading 1
reign 1
religious 1
reporter 1
revealing 1
reveals 2
robot 3
save 1
says 1
sector 2
shifts 1
show 1
situated 1
skills 1
society 1
something 1
son 1
source 2
south 1
speak 1
starts 2
story 1
streeling 1
sunmaster 1
supposedly 1
suspect 1
suspects 1
takes 1
temple 1
that 10
the 32
their 1
them 1
theme 1
then 2
theoretically 1
therefore 1
they 3
this 3
thus 1
time 1
to 17
too 1
touch 1
towards 1
trantor 2
try 2
university 1
until 1
up 1
use 3
venabili 1
wants 1
ways 1
we 1
welcomed 1
what 2
when 3
where 1
which 1
while 1
who 3
whom 1
with 3
work 1
would 2
wye 1
yugo 1
