21278693
/m/05f334d
/m/05f334d
David Michaels

a 3
aided 1
an 1
and 6
band 1
battle 1
but 1
by 3
camaraderie 1
captain 1
china 3
chinese 1
clancy 1
coast 1
coping 1
decadeold 1
destroy 1
dominance 1
dragon 1
during 1
eastern 1
endangering 1
execute 1
first 1
for 2
franchise 1
from 1
gets 1
ghost 1
ghosts 2
group 2
impact 1
in 3
infiltrate 1
is 2
leaders 1
led 1
lessonslearned 1
military 1
mission 1
mitchell 2
nemesis 1
northwest 1
novelization 1
of 3
old 1
operation 2
pacific 1
personal 1
philippines 1
plot 1
poised 1
pouncing 1
recon 1
remembering 1
renegade 1
resurfaces 1
scott 1
seek 1
seize 1
small 1
southern 1
spring 2
taiwan 1
team 1
the 12
this 1
tiger 2
to 3
tragedy 2
treasuring 1
trigger 1
ubisofttom 1
unforeseen 1
very 1
wage 1
war 3
waziristan 1
with 1
wrath 1
xiamen 2
