4361460
/m/0bz5p7
/m/0bz5p7
Dean Koontz
2005
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/0c3351": "Suspense"}
14 1
a 18
above 1
acquaintances 2
acts 1
adultery 1
advance 1
adventure 1
adversary 1
after 3
again 1
against 1
ago 3
alibi 1
all 2
alleged 1
alone 1
also 1
although 2
an 2
and 16
any 1
are 3
art 1
artist 1
as 6
assaulted 1
associates 1
assumes 1
at 5
attention 2
attracting 1
barbara 4
barbara3s 2
barn 1
baroque 2
bartender 1
be 3
become 2
been 3
before 1
beginning 1
below 1
bill 1
billy 6
bold 1
book 3
but 2
by 6
called 1
camera 1
can 1
cannot 1
caring 1
catch 1
cf 1
chapter 1
check 1
chosen 1
circumstantial 1
clear 1
clever 1
close 1
coma 1
comes 1
comments 1
committed 2
complaint 1
complex 1
confronts 1
considers 1
consult 1
contains 1
contrast 1
convinced 1
could 1
country 1
cover 1
crimes 2
cruel 1
cryptic 1
cunning 1
daily 1
daunting 1
day 1
dead 1
decide 2
decides 1
depicted 1
description 1
desires 1
did 1
directly 1
discovers 1
discussion 1
disputes 1
does 2
doing 1
dramatic 1
driven 1
driving 1
each 1
end 2
endanger 1
ending 1
ends 2
even 2
eventually 1
evidence 2
exactly 1
example 2
eyes 3
fell 1
few 2
fiance 1
finds 2
first 2
fish 1
fits 1
flock 1
flying 1
focuses 1
follow 1
following 1
for 9
force 1
forehead 1
freak 4
friends 1
from 2
game 1
gangs 1
gentlemen 1
given 1
go 1
goes 1
groups 1
grudges 1
guarded 1
had 2
happens 1
has 7
have 1
he 27
her 2
him 4
his 15
history 1
home 3
honor 1
hooks 1
hope 1
hoped 1
house 2
however 3
hunch 1
if 1
imminent 1
impersonal 1
impulse 1
in 15
increasingly 1
ingenious 1
instead 1
intimidation 1
into 3
involving 1
is 3
it 2
joke 1
joker 1
judging 1
just 1
kill 1
killed 1
killer 2
kills 1
know 1
known 1
knows 1
large 1
largely 1
lead 1
leading 1
leaves 1
life 3
like 1
live 2
lived 1
lone 1
long 2
mace 1
machiavellian 1
made 1
making 1
manages 1
maskwearing 1
men 1
message 1
might 2
mind 2
mistakenly 1
modern 1
money 1
more 3
most 1
much 1
murder 1
murderous 1
murders 1
must 1
narrator 1
nations 1
nature 1
nightmarish 1
no 1
none 1
not 11
note 1
notes 1
now 1
of 20
on 7
one 3
only 4
open 1
or 2
orphan 1
out 3
over 1
own 1
pain 1
paper 1
past 1
pc 1
people 2
perpetrator 1
person 2
personal 2
physically 1
piece 1
plainly 1
planted 1
players 1
pledged 1
police 4
possibly 1
postmodern 1
postpostmodern 1
prepared 1
prime 1
promising 2
psychopath 2
psychopathic 1
purpose 1
quick 1
random 1
rather 3
ravages 1
realises 1
realistic 1
realize 1
realizes 2
reasons 1
receiving 1
reckless 1
recluse 1
recovers 1
recovery 1
reflect 1
replays 1
reported 1
returning 1
right 1
routine 1
safe 1
say 1
saying 1
secluded 1
see 1
seems 1
sees 2
selfcontrolled 1
several 1
she 1
shock 1
shoots 1
short 2
shortly 1
sick 1
since 1
skin 1
slights 1
so 1
society 1
sociopaths 2
some 2
someone 1
soon 1
spare 1
spends 1
sprays 1
statement 1
steve 1
story 1
street 1
stuck 1
succession 1
suspect 1
swallows 1
takes 1
terrorists 1
than 3
that 10
the 52
them 2
they 3
think 1
third 1
thoroughly 1
three 1
thrill 1
time 2
to 13
together 2
triggered 1
turn 2
turned 1
turns 1
two 2
ultimatum 1
under 1
unknown 1
up 2
utopian 1
valis 3
very 2
victims 1
video 1
violence 2
violencemdashexcluding 1
vision 1
warmdashhad 1
was 3
watertight 1
way 1
we 1
were 3
when 6
whether 1
which 3
while 1
who 2
whom 1
wiles 9
windshield 1
wiser 1
with 5
woodwork 1
work 2
working 1
workmates 1
world 3
would 2
wound 1
writer 1
years 1
you 1
young 1
your 1
zillis 6
