3623871
/m/09qmms
/m/09qmms
Tom Stoppard


77 1
a 5
afterlife 1
age 1
also 1
and 1
artistic 1
as 3
at 1
bank 1
begins 2
boarding 1
boat 1
by 1
captained 1
characters 1
charon 1
classics 1
collection 1
comments 1
dead 1
dreaming 1
e 1
explore 1
for 2
from 1
growth 1
harboured 1
he 2
his 4
housman 6
ideals 1
including 1
intellectual 1
into 1
is 1
jackson 1
latevictorian 1
latin 1
life 1
lifelong 1
love 1
man 1
matriculation 1
moments 1
moses 1
occasionally 1
of 2
older 1
on 3
oxford 1
petulant 1
play 3
preeminent 1
primarily 1
relationship 1
remember 1
river 1
scenes 2
scholar 1
self 1
short 1
stage 1
standing 1
starting 1
studied 1
styx 1
talks 1
textual 1
that 2
the 11
throughout 1
to 3
trace 1
unfolds 1
university 1
unrequited 1
well 1
where 1
whom 1
with 3
younger 1
