20775154
/m/056_v_l
/m/056_v_l
Louise Welsh
2004
153 1
a 4
accuses 1
and 4
becomes 1
before 2
blasphemous 1
called 1
calling 1
council 1
counterplots 1
days 1
death 1
down 1
entangled 1
eventual 1
famous 1
figure 1
for 1
has 2
he 1
heretical 1
hero 1
him 1
himself 1
his 2
however 1
in 5
individual 1
innocence 1
intrigue 1
is 3
libelous 1
london 1
marlowe 5
most 1
murder 1
name 1
novella 1
of 5
one 1
only 1
out 1
pamphlet 3
plagueridden 1
plays 1
plots 1
privy 1
protests 1
really 1
sentenced 1
set 1
similar 1
someone 1
style 1
tamburlaine 1
that 1
the 5
this 2
three 1
to 3
track 1
web 1
which 1
who 1
writing 3
written 1
wrote 1
