3473952
/m/09fdwm
/m/09fdwm
Henry James

{"/m/05hgj": "Novel"}
a 3
accessories 1
after 2
again 1
alive 1
all 1
an 1
and 2
armiger 1
as 2
authorities 1
away 1
be 1
become 1
birth 1
bream 1
but 1
causes 1
child 1
convinces 1
crime 1
daughter 1
decide 1
dennis 2
died 1
dies 1
discovered 1
dr 1
drowns 1
effie 4
effort 1
engaged 1
extracts 1
fact 1
family 2
free 1
friend 1
friends 1
from 1
get 1
giving 1
had 1
her 2
horrible 1
husband 1
hush 1
in 2
involved 1
is 5
it 1
julia 4
legally 1
little 1
long 1
love 1
made 1
marry 1
murderand 1
named 1
natural 1
never 1
of 1
off 1
old 1
only 1
ostensibly 1
overcome 1
pass 1
people 1
physician 1
promise 2
ramage 1
remarry 1
rose 3
school 1
sent 1
several 1
she 2
so 2
stepmother 1
that 1
the 5
they 1
things 1
though 1
to 8
tony 4
up 1
vidal 2
will 1
with 3
years 1
