10643068
/m/02ql1fx
/m/02ql1fx
John Brown

a 19
abates 1
after 2
afternoon 1
age 1
ailie 9
ailing 1
all 3
anaesthesia 1
and 44
anxious 2
anxiously 1
any 1
are 3
arranged 1
as 8
asepsis 1
ashamed 1
assistants 1
at 8
back 1
be 3
beautiful 1
bed 1
been 1
before 1
begins 1
begs 1
begun 2
behaved 1
beil 1
being 1
between 1
big 1
black 1
blush 1
bombazeen 1
bow 1
boys 1
breast 2
breathing 1
breest 1
bright 1
brown 1
bullterrier 1
but 4
buttons 1
by 2
called 1
came 3
carefully 3
carpet 1
carrier 2
cart 1
carter 2
centre 1
characters 1
cheek 1
children 1
chloroform 1
clean 1
clear 1
coat 1
coloured 1
comes 1
comic 1
confidential 1
consulting 1
cordiality 1
could 3
crowded 1
curt 1
curtsied 1
curtsies 1
daintily 1
day 2
days 3
decently 1
did 2
died 1
dimity 1
doctor 1
dog 3
done 1
down 5
dressed 2
dumb 1
eager 2
easy 1
employer 1
ends 1
examined 2
eyes 2
face 2
faces 1
faithful 1
feel 1
feet 1
ferocious 1
few 1
fight 1
filled 1
fine 1
firm 1
first 1
following 1
for 5
four 2
friend 1
friends 1
from 2
fun 1
funeral 1
gate 1
gates 1
gave 2
gently 1
give 1
glory 1
good 1
got 1
gown 1
great 1
grim 1
groosin 1
grotesque 1
growled 1
had 7
hand 1
handing 1
handkerchief 1
happed 1
happy 1
hard 1
has 2
haste 1
have 1
he 5
healed 1
her 30
herself 4
him 3
his 9
honest 1
hope 1
hornyhanded 1
horrid 1
horse 1
hospital 1
how 1
howgate 2
hurrying 1
husband 1
i 4
if 1
ill 2
impatient 1
in 13
income 1
intention 1
into 1
is 7
it 9
its 2
james 10
jamie 1
jess 1
john 3
kind 2
laid 1
large 2
lawn 1
leading 1
leaving 1
led 1
lifted 1
like 1
liked 1
little 2
long 1
look 2
looked 1
looking 2
looks 1
low 1
lump 1
made 1
main 1
maister 2
man 2
master 1
me 4
metal 1
mischief 1
mistress 1
more 1
much 2
mutch 1
my 3
name 1
necessarily 1
neck 1
neckerchief 1
next 1
no 2
noble 1
noon 1
not 1
now 2
nurse 1
october 1
of 12
old 1
on 5
once 1
one 2
oor 1
open 2
operated 1
operation 2
other 1
over 2
ower 1
owner 1
pain 2
palace 1
pale 1
pardon 1
patient 1
peremptory 1
petticoat 1
places 1
plaid 1
power 1
presence 1
pulse 1
put 1
queen 1
quick 1
quickly 1
quiet 1
quiets 1
rab 6
rapid 2
red 1
relief 1
removed 1
rested 1
resting 1
restless 1
restlessness 1
right 1
room 2
rough 1
round 2
sack 1
said 6
sat 1
saunter 1
saw 3
say 1
secret 1
secure 1
see 1
sharp 1
she 14
sheba 1
sheep 1
shivering 1
shoes 1
shortgown 1
showed 2
showing 1
shut 1
silent 1
simple 1
sit 1
sitting 1
skin 1
slow 1
so 1
solomon 1
some 2
soul 1
speed 1
speedy 1
spoke 1
staff 1
stair 1
stepped 1
steps 1
still 1
stir 1
stockings 1
stone 1
story 2
straw 1
student 1
students 4
sudden 1
surgeon 5
surgeons 1
swift 1
syme 1
table 2
talk 1
taught 1
teacher 1
tender 1
that 4
the 40
theatre 2
their 2
them 1
then 3
there 2
these 1
they 2
thinking 1
this 2
three 1
time 1
to 8
told 2
tomorrow 1
too 2
took 1
tried 1
trouble 1
trust 1
turning 1
undid 1
unknown 1
up 4
us 1
vexed 1
voice 1
walked 1
walks 1
was 13
wasnt 1
way 1
we 4
well 1
went 1
wept 1
were 1
what 2
when 2
white 4
wife 2
willing 1
with 8
within 1
without 2
woman 4
word 1
words 1
working 1
worsted 1
would 2
wound 2
wrapped 1
yelp 1
young 1
youth 1
