1047922
/m/025rpvx
/m/025rpvx
Achilles Tatius


a 9
adventures 1
advice 1
after 2
again 1
alexandria 2
alive 3
already 2
also 2
an 2
and 12
another 4
antidote 1
apparently 1
approached 1
approaching 1
are 2
army 1
arrive 1
artemis 1
as 1
at 3
attempts 3
averted 1
awakened 1
away 1
bandits 3
be 1
beauty 1
become 1
been 2
before 1
being 1
betrayed 1
blessing 1
boat 1
both 1
boyfriend 1
but 8
by 10
byzantium 2
called 1
calligone 4
camp 1
can 1
captured 2
chaireas 3
chop 1
clitophon 13
come 1
comes 2
commit 1
consummate 1
convinces 1
cousin 2
death 1
decapitated 1
delta 1
despite 1
destroyed 1
dies 1
discovers 1
distraught 1
dream 1
during 1
effect 1
egypt 1
egyptian 1
elope 1
entering 1
ephesus 3
eventually 1
experienced 1
fact 1
falls 3
fast 1
father 2
fearing 1
finally 1
for 3
frame 1
friends 2
from 2
general 1
given 2
gives 1
goes 1
grave 1
group 1
halfsister 1
has 1
have 1
having 2
he 4
head 1
heard 1
helpful 1
her 12
him 2
his 10
home 2
honest 1
however 1
husband 2
in 12
induced 1
innocence 1
is 15
it 2
kallisthenes 2
kidnap 1
kidnapper 1
kidnaps 2
kleinias 1
lady 1
latter 1
leading 1
leave 1
leucippe 15
love 6
lover 2
lovers 3
madness 1
magical 1
make 1
male 1
man 2
marriage 4
marry 2
meet 1
melite 2
men 1
menelaos 1
mistake 1
mother 1
murder 1
narrator 1
night 1
nile 1
novel 1
number 1
of 7
off 1
ominous 1
on 3
once 1
out 2
overboard 1
own 1
point 1
potion 1
promised 1
props 1
proven 1
proves 1
pursues 1
rape 1
refuses 1
reprisals 1
rescued 1
rescues 1
responsible 1
returns 2
reveals 1
rival 1
room 1
sacrifice 2
sacrificed 1
saved 1
seeks 1
sentence 1
she 1
ship 2
shortly 1
shown 1
soon 1
sostratos 1
staged 1
start 1
state 1
stead 1
still 3
storm 1
story 1
strange 1
stranger 1
stricken 1
suicide 1
supposed 1
taking 1
talk 1
temple 1
that 3
the 17
theatrical 1
their 2
them 2
there 1
thersandros 1
they 3
this 2
throw 1
to 17
together 1
town 1
travels 1
true 1
turns 2
tyre 3
unfortunately 1
unhappy 1
unnamed 1
using 1
virginity 1
visit 1
when 1
where 1
which 1
who 3
widowed 1
wins 1
with 3
witnesses 1
woman 1
woo 1
wrecked 1
young 3
