8861961
/m/027mf8r
/m/027mf8r
Halldór Laxness
1957

a 4
adoptive 1
and 6
annals 1
around 1
as 4
at 2
away 1
begins 1
book 2
boy 2
boyhood 1
brekkukot 2
brekkukotsannll 1
businessmen 1
by 1
celebrated 1
century 1
community 1
compound 1
cottage 1
deals 1
dedas 1
discovers 1
eccentrics 1
elf 1
elves 1
encounter 1
encourage 1
experiences 1
explained 1
fascinated 1
fischkonzert 1
fisherman 1
for 1
forever 1
from 1
future 1
garar 1
gather 1
goals 1
grandparents 1
grandson 1
grmur 1
growing 1
he 4
him 1
his 4
hlm 1
iceland 1
icelandic 2
in 2
increasingly 1
is 4
isbrekkukotsannll 1
lf 1
lfgrmur 4
meaning 1
minor 1
misfits 1
name 2
night 2
novel 1
of 10
on 2
only 1
original 1
orphaned 1
out 1
outskirts 1
own 1
path 1
personal 1
poetic 1
politicians 1
pursue 1
question 1
returns 1
reykjavk 2
selfexpression 1
set 1
sets 1
singer 1
small 1
socialclimbers 1
spends 1
sporadic 1
start 1
starts 1
take 1
that 1
the 16
their 1
them 2
they 1
to 4
tolerant 1
town 1
true 1
twentieth 1
value 1
who 1
whose 1
will 1
with 2
word 1
world 1
