28643181
/m/0czb3_m
/m/0czb3_m
Jeff Sampson

{"/m/02n4kr": "Mystery", "/m/06n90": "Science Fiction", "/m/03mfnf": "Young adult literature"}
a 1
activities 1
and 4
as 2
asleep 1
at 1
attempts 1
been 2
but 1
changing 1
character 1
classmates 1
despite 1
discovers 1
each 1
emily 5
faster 1
figure 1
films 1
first 1
follows 1
found 1
from 1
geeky 1
getting 1
girl 1
go 2
going 3
has 1
her 7
herself 1
home 1
horror 1
is 1
keeps 1
likely 1
more 1
murdered 1
name 1
night 1
nocturnal 1
normal 1
not 2
notice 1
of 3
old 1
on 1
one 1
only 2
other 2
out 4
parties 2
passing 1
person 1
prevent 1
seek 1
self 2
shares 1
she 5
sneaking 1
stay 1
stronger 1
takes 1
than 2
that 4
the 2
this 1
thought 1
thrill 1
to 7
tries 1
unbeknownst 1
vesper 1
was 1
watch 1
webb 1
well 1
what 1
when 2
wilder 2
with 2
