388046
/m/022g4y
/m/022g4y
James Ellroy
1995-02-14
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
1 1
1230 1
15 1
158 1
15january 1
161 2
161september 1
163 3
22 1
26 1
a 23
abiding 1
about 1
absconds 1
accounting 1
activities 2
added 1
adversary 1
advise 1
affair 1
after 3
afterthefact 1
agency 1
agent 2
air 1
albeit 1
alcoholism 1
all 1
also 9
although 2
amends 1
america 1
american 1
an 7
and 49
anonymously 1
another 1
anticommunism 1
are 1
arrange 1
arranges 1
as 8
assassinate 1
assassination 2
assigned 1
associate 1
associates 1
association 1
at 5
atone 1
attempt 1
authorize 2
authorized 1
awaiting 1
away 1
back 1
backing 1
bar 1
barb 1
batista 1
bay 3
be 2
beaten 1
become 4
becomes 2
before 1
begin 2
begins 3
behavior 1
behind 1
being 2
believes 1
billionaire 1
blackballs 1
blessington 2
bobby 8
bondurant 21
book 1
books 4
boss 1
both 3
boyd 30
boydnow 1
brother 1
budding 1
bureau 2
but 3
by 3
cadre 3
call 1
camp 2
campaign 1
career 1
carlos 1
casinos 1
castro 5
catch 1
central 3
chances 1
characters 1
cia 10
civil 1
clean 1
client 1
closing 1
code 1
coerces 1
collaborate 1
collude 1
collusion 5
comes 1
committee 1
communist 3
concludes 1
confessing 1
confirms 2
confronting 1
confronts 1
connection 2
connections 1
conspirators 1
contract 1
converge 1
corruption 1
cover 1
covers 1
covertly 1
covets 1
cracking 1
crime 5
cuba 1
cuban 4
dallas 3
days 2
dealey 1
december 1
degrees 1
department 2
deported 1
deputy 1
designate 1
determine 1
dies 1
direction 1
discovering 1
discovers 2
disgruntled 1
dislikes 1
distribute 1
dollars 2
drives 1
due 1
during 1
each 1
edgar 1
embarrassment 1
embody 1
emphatically 1
employ 2
encourage 1
encourages 1
endanger 1
ends 1
enemy 1
enraged 2
enraptured 1
entrap 1
envy 1
erratic 1
establishes 1
establishing 1
every 1
everything 1
evidence 1
execute 1
exiles 2
explanation 1
extradition 1
eyes 1
f 1
failure 1
family 2
far 1
father 1
fbi 6
feared 1
februarynovember 1
federal 1
feeds 1
fidel 1
figures 1
fingers 1
fires 2
florida 1
fond 1
for 14
forceto 1
former 2
frame 1
friend 1
from 7
fulgencio 1
fullfledged 1
fund 6
funds 1
gain 1
general 1
geneva 1
get 1
girl 1
government 1
guarantee 1
had 1
hands 1
has 3
hatred 3
havana 1
have 1
having 2
he 6
help 1
heroin 5
hideout 1
him 5
himself 1
hire 1
hires 1
his 18
history 1
hoffa 4
home 3
hoodlum 1
hoover 11
hopes 2
hoping 1
hot 1
hotel 1
howard 2
however 1
hughes 4
hurt 1
hushhush 1
i 1
ii 1
iii 1
implement 1
implicating 1
improper 1
in 16
inauguration 1
increasingly 1
information 1
initiative 1
ins 1
intelligence 1
intent 1
into 1
introducing 1
invades 1
invasion 4
invented 1
investigate 1
investigates 1
investigating 1
investigation 2
involvedincluding 1
involvement 1
ironically 1
is 14
issue 1
it 4
its 2
iv 1
j 1
jack 5
jahelka 1
january 2
jfk 1
jimmy 1
job 1
joe 1
john 2
joins 1
joseph 1
jules 1
just 1
justice 2
kab 1
keep 1
kemper 1
kennedy 25
kennedys 4
kill 1
killed 1
killing 1
klan 1
klavern 1
klux 1
ku 1
labor 1
lake 1
lands 1
lasd 1
later 1
law 1
lawyer 2
leads 1
learning 1
leave 1
leaves 2
leftwing 1
linked 1
littell 29
loaned 1
local 1
logistics 1
losses 1
mafia 2
make 2
making 1
man 1
management 1
mandates 1
marcello 7
meets 2
men 2
miami 4
midlevel 1
millions 2
mission 1
mississippi 1
mob 13
mobster 1
monitor 1
motorcade 2
much 1
nationalized 1
naturally 1
necessary 1
nemeses 1
new 3
night 1
noncommittal 1
november 1
novemberdecember 1
now 2
nowattorney 1
nowmutual 1
numerous 1
occupied 1
of 40
off 2
offers 1
officially 1
on 9
one 1
opens 1
operation 6
operatives 1
opportunity 1
order 1
organized 5
orleans 1
out 1
outfit 1
over 1
overthrow 3
own 2
pages 1
part 6
partner 1
party 1
passes 1
patronage 1
pension 4
person 1
personal 1
pete 1
pigs 4
place 1
plan 1
plane 1
plays 1
plaza 1
plot 4
plots 1
plotting 1
pm 1
power 1
practicing 1
presently 1
president 6
presidential 1
press 1
prevents 1
price 1
primary 1
principal 1
principals 1
print 1
privilege 1
promising 1
protagonists 1
provide 1
publication 1
radicals 1
rapport 1
realizes 1
received 1
recommends 1
recordings 1
recouping 1
recruited 1
recuperating 1
redistribution 1
rednecks 1
reelection 1
refugees 1
refuses 2
regime 1
relationships 1
remains 1
report 1
response 1
retake 1
returns 1
revokes 1
revolutionary 1
ridiculing 1
right 1
rights 1
robert 1
roberton 1
ruby 3
running 1
runs 1
scam 1
schiffrin 3
screams 1
searching 1
second 1
secondguesses 1
secret 1
sections 1
seeking 1
select 1
senate 1
septembernovember 1
series 1
serve 1
set 3
setup 1
several 4
severely 1
severing 1
shakedowns 3
sham 1
share 1
sharing 1
shoots 1
shore 1
shot 1
shots 2
side 1
smalltime 1
snitches 1
socialclimbing 1
southerner 1
specific 1
spot 1
squad 1
stand 1
state 1
steal 1
stealing 1
steals 1
stolen 1
strategy 1
strikes 1
successful 1
supplying 1
support 1
supposed 1
surmise 1
surmises 1
sympathizer 1
tabloid 1
take 1
takes 1
tap 2
tapes 1
taps 1
task 1
taxi 1
teamsters 2
that 15
the 84
theft 2
their 9
them 2
there 1
they 7
thinking 1
this 1
three 4
through 8
ties 2
tiger 1
times 1
tipped 1
tips 1
to 34
top 1
tracks 2
train 1
training 1
trajectories 1
transcripts 1
tries 1
trying 1
ultimately 1
unaware 2
uninterested 1
union 1
up 5
upon 1
us 2
used 1
v 1
varying 1
vendetta 1
vie 1
visit 1
visits 1
waiting 2
wake 1
ward 1
wealth 2
went 1
were 2
when 5
where 1
wherein 1
whether 1
which 2
while 3
who 4
why 1
wife 1
will 4
wire 2
wisconsin 1
wisdom 1
with 20
without 3
woman 1
working 3
works 2
would 3
younger 1
