9102394
/m/027xq76
/m/027xq76
James Shirley


a 3
account 1
admiral 3
against 1
agrees 1
alphonso 1
and 10
are 3
arrangement 1
as 2
attack 1
bargain 1
be 2
beheaded 1
between 1
both 1
breaks 1
but 2
by 4
camp 1
captured 3
cassandra 6
cesario 6
choice 1
city 1
closed 1
comic 1
command 1
competitors 1
conspiring 1
counters 1
cowardly 1
defense 1
dilemma 1
do 1
drawn 1
father 4
features 1
finds 1
flees 1
fleet 1
for 1
forces 3
from 1
gates 1
hand 1
he 3
her 1
him 2
his 12
hoping 1
however 2
if 2
in 2
insult 1
intended 1
is 6
joins 1
keeps 1
killed 1
king 2
lay 1
learns 1
letter 1
life 1
lives 1
love 1
mandatory 1
marriage 1
marry 1
name 1
naples 3
neapolitans 2
of 7
off 1
offers 1
on 2
pazzorello 1
peace 1
play 2
preparing 1
prince 2
princess 2
response 1
return 1
rosinda 4
sends 1
servant 1
shipwrecked 1
sicilian 3
sicilians 1
sicily 2
siege 1
spare 1
story 1
subplot 1
suggests 1
surrendering 1
tells 1
that 3
the 18
there 1
this 1
to 9
too 1
tragicomic 1
treaty 1
typical 1
victorious 1
vittori 9
which 1
while 1
will 2
with 3
yet 1
