735622
/m/036xd_
/m/036xd_
Poul Anderson
1960
1345 2
a 14
aboard 1
about 1
accomplishments 1
across 1
ad 1
advanced 2
advantage 1
after 1
again 1
against 2
agreed 1
alien 1
aliens 2
all 2
also 2
an 4
and 20
angered 1
another 1
ansby 5
any 1
appears 1
archbishop 1
are 2
arranged 1
arrives 1
as 2
ashenkoghli 1
assist 1
at 4
atomic 1
attacks 2
attempt 1
autopilot 1
back 2
baron 5
base 2
being 2
belongings 1
betrays 1
between 1
board 1
bomb 1
branch 1
branithar 2
brutal 1
build 1
but 6
by 8
call 1
can 1
captain 1
capture 2
captured 2
catherine 2
catholic 1
caught 1
chief 2
church 1
climax 1
colonization 1
colony 1
combat 1
come 1
comes 2
conquest 1
constantinople 1
corners 1
could 1
course 1
craft 3
crusade 1
crusader 5
darova 1
days 1
de 3
demands 2
descendants 1
described 1
destroy 1
destroys 1
directs 1
do 1
dominion 1
during 1
earth 7
edward 1
either 1
empire 6
england 1
english 1
englishmen 1
enlists 1
enormous 1
enslaved 1
entire 3
epilogue 1
establish 1
estate 1
events 2
feasibility 1
figures 1
finally 1
for 3
force 1
forced 1
forgotten 1
formulates 1
fortress 1
fortresses 1
founded 1
france 3
french 1
friend 1
from 3
galactic 1
ganturath 3
get 2
give 2
gives 1
go 1
goes 1
government 1
hameward 1
handtohand 1
has 1
hatches 1
have 1
having 2
he 6
help 3
helped 1
herself 1
high 1
him 1
himself 1
his 5
hold 1
holy 2
home 1
however 1
humans 2
hundred 1
huruga 3
ignores 1
iii 1
in 13
including 1
instead 1
instruction 1
interest 1
intimidate 1
into 1
invaders 1
is 11
israeli 1
it 5
its 1
itself 1
jairs 1
john 1
kill 1
kills 1
king 2
lady 2
land 1
lands 1
learns 1
liberate 1
light 1
lincolnshire 1
little 1
long 1
loses 1
lost 2
loyal 1
made 1
main 2
makes 1
manages 1
meanwhile 1
meeting 1
members 1
military 1
millennium 1
mistake 1
montbelle 3
most 1
mystified 1
new 2
northeastern 1
not 1
notes 1
now 1
obliterated 1
obsolete 1
of 22
off 1
offguard 1
on 4
one 3
only 3
order 1
orders 1
other 2
our 1
out 1
outrageous 1
outside 1
over 1
overthrow 1
owain 2
people 3
person 1
pilot 2
plan 4
planets 1
prepare 1
process 1
prtans 1
race 1
races 1
rebelled 1
recruiting 1
red 1
reference 1
religious 1
retaliation 1
return 1
reunites 1
roger 12
roman 1
scouting 1
sets 1
she 1
ship 4
side 1
silver 1
since 2
sir 14
solar 1
soldiers 3
something 1
spacecraft 2
sparselypopulated 1
species 1
spreads 1
stalurax 1
state 1
storm 1
story 1
stularax 1
subject 1
submit 1
successful 1
suddenly 1
surly 1
system 1
take 3
tales 1
talks 2
tall 1
technology 2
testing 1
tharixan 4
that 6
the 70
their 3
them 1
then 1
there 1
they 1
this 1
three 3
throwing 1
to 22
took 1
topple 1
tourneville 3
town 2
townspeople 1
trick 1
truce 2
unable 1
under 1
unfortunately 2
up 4
very 2
village 1
villagers 2
war 2
was 1
welcomed 1
wersgor 7
wersgorix 4
which 3
who 2
wife 1
win 1
with 6
word 1
world 1
wound 1
wrecks 1
years 2
