22781124
/m/05zt40y
/m/05zt40y
Dan Rhodes
2004

a 2
after 1
afterwards 1
and 3
approached 1
at 1
back 1
before 1
behind 1
book 2
boyfriend 1
but 1
by 1
car 3
central 1
collides 1
conceal 1
crashes 1
day 1
determined 1
driving 1
efforts 1
fateful 1
from 1
having 1
her 4
high 1
home 1
i 1
in 3
involvement 1
is 4
it 2
just 1
killed 1
large 1
let 1
life 1
little 1
loves 1
morning 1
news 1
next 1
not 1
of 3
oh 1
on 1
paris 2
pass 1
passing 1
princess 1
realises 1
remainder 1
seeing 1
set 1
she 1
shit 1
speed 1
split 1
tells 1
the 8
through 1
to 2
tunnel 1
up 1
veronique 3
when 1
where 1
whilst 1
white 1
with 2
