5990391
/m/0fjgg8
/m/0fjgg8
Jacques Futrelle
1909
{"/m/06wkf": "Spy fiction", "/m/02xlf": "Fiction"}
a 3
about 1
absolutely 1
accessed 1
admirer 1
agent 1
alerted 1
all 3
also 1
although 1
american 1
an 1
and 5
are 1
assigned 1
at 1
be 3
beautiful 1
because 1
becomes 1
been 4
both 1
bring 2
british 1
brother 1
but 1
by 4
can 2
capital 1
captured 1
charge 1
commissioned 1
compact 1
completely 1
conspirators 1
contract 1
countries 1
depth 1
devised 1
diplomatic 1
does 1
dominion 1
easily 1
elusive 2
employer 1
end 2
enemy 1
eponymous 1
estranged 1
european 1
falls 1
fired 1
for 1
foreign 1
forgotten 1
from 2
government 2
grimm 2
gutenberg 1
half 2
has 4
have 2
her 4
heroine 1
him 1
his 1
hoped 1
however 1
immunity 1
in 4
inventor 1
involved 2
is 2
isabel 3
it 1
italian 3
its 1
justice 1
knows 1
latin 1
longer 1
love 2
loyal 1
members 1
military 1
missiles 1
murdered 1
name 1
no 2
not 1
novel 2
now 1
of 9
one 1
over 1
possessions 1
power 1
prevent 1
project 1
reciprocates 1
representative 1
representatives 1
rest 1
right 1
secret 4
secrets 1
secure 1
see 1
service 2
she 2
signing 2
site 1
stripped 1
submarines 1
the 18
their 1
this 1
thorne 2
those 1
time 1
to 5
trivial 1
unites 1
us 1
via 1
want 1
weapon 1
web 1
which 2
who 6
will 1
with 2
woman 1
works 1
world 1
young 2
