1123003
/m/0484dv
/m/0484dv
Mark Twain
1867
40 1
a 9
about 2
acquaintance 1
after 1
agrees 1
aligned 1
all 1
an 3
and 14
andrew 1
angel 1
another 2
any 3
anything 1
around 1
asks 2
at 5
away 2
back 1
baldheaded 1
be 1
beat 1
before 1
begin 1
best 1
bet 3
bets 1
between 1
bit 2
box 4
budge 1
bulldog 1
but 2
by 2
calaveras 2
called 1
camp 1
can 1
carried 1
catch 1
catches 1
catching 1
caught 3
chased 1
comes 1
coughed 1
could 2
count 1
county 2
cow 1
danl 3
day 1
death 1
decayed 1
didnt 1
different 1
disgusted 1
doesnt 2
dogs 1
door 1
down 2
end 1
errand 1
evenly 1
excuses 1
fat 1
fights 1
find 1
finds 1
for 2
freshly 1
friend 2
frog 17
frogs 3
from 2
front 1
gave 1
giddily 1
gives 1
gone 1
ground 1
had 2
handfuls 1
he 12
hed 1
him 4
himself 1
his 3
hold 1
if 1
in 5
into 1
is 5
isnt 1
it 1
jackson 1
jim 19
jump 2
jumped 1
just 1
keep 1
know 1
knows 1
lead 1
least 1
leaves 2
left 1
leonidas 4
let 1
long 1
look 1
looks 2
loose 1
loves 1
man 2
mining 1
money 1
months 2
more 1
mouth 1
mustnt 1
named 2
narrator 7
never 1
of 11
off 1
old 2
on 4
once 1
one 1
oneeyed 1
other 4
out 1
outjump 1
over 1
parson 1
plumpy 1
point 1
porch 1
pours 1
pup 1
ready 1
realizes 1
related 1
responds 2
seated 1
sent 1
set 2
shot 2
simon 5
smiley 6
so 2
someone 1
starts 2
story 3
stranger 11
sudden 1
surprised 1
takes 1
telling 1
tells 4
than 2
that 6
the 48
them 1
there 1
they 2
this 1
those 1
three 3
tips 1
to 15
town 1
trained 1
up 3
upside 1
visit 1
w 2
walker 1
walking 1
was 3
webster 2
what 1
wheeler 2
when 1
while 3
why 1
wife 1
wonders 1
