25235058
/m/09g68nf
/m/09g68nf
Charles McCarry
1974
163 1
advisers 1
agency 1
american 1
and 1
anyone 1
as 1
assassinated 1
assassination 2
behind 1
believing 1
christopher 4
deduces 1
diem 1
dinh 1
discuss 1
else 1
f 1
find 1
former 1
had 1
heads 1
house 1
in 1
intelligence 1
investigates 1
john 1
kennedy 4
leaders 1
matter 1
ngo 1
not 1
november 1
of 3
officer 1
one 1
paul 1
president 2
quits 1
revenge 1
that 2
the 6
threatens 1
to 3
truth 1
us 1
vietnam 1
vietnamese 2
was 1
when 1
white 1
with 1
