876707
/m/03kx1v
/m/03kx1v
Robert Munsch
1986
{"/m/02xlf": "Fiction"}
a 3
always 2
and 3
as 5
at 1
away 1
baby 1
be 2
been 1
begins 1
born 1
boy 1
continues 2
elderly 1
end 1
father 1
for 2
forever 2
girl 1
grown 1
has 1
he 2
her 3
him 1
his 2
holds 1
ill 4
im 2
is 3
just 1
later 1
life 1
like 2
little 1
living 2
long 2
love 2
man 1
mommy 1
mother 4
my 2
of 3
passes 1
reversed 1
rock 1
rocking 1
role 1
same 1
says 1
sing 1
singing 2
sleep 2
son 3
song 1
story 3
that 1
the 11
then 1
through 1
to 5
until 1
used 1
very 1
you 4
youll 2
