29055790
/m/017f2w
/m/017f2w
Jonathan Franzen
2001
a 8
abandonment 1
academic 1
accelerating 1
affair 1
after 2
alcoholic 1
alfred 4
also 1
american 1
and 13
are 1
around 1
as 2
back 2
banker 1
based 1
become 1
begin 1
begins 1
behavior 1
boil 1
book 1
boom 2
boss 2
both 1
but 4
by 2
carefully 1
causing 1
century 1
chef 1
child 1
children 5
chip 1
choices 1
christmas 1
climaxes 1
coast 2
confront 1
controlled 1
converge 1
corrections 1
crime 1
decline 1
defrauding 1
dementia 1
denise 1
depicting 1
depressed 1
detail 1
disastrous 1
disease 1
driven 1
each 1
east 2
economic 2
eldest 1
employ 1
engineer 1
enid 2
family 6
fictional 1
fled 1
focuses 1
forced 1
forth 1
fracture 1
free 1
from 3
full 1
gary 1
goes 1
grow 1
growth 1
harder 1
has 1
have 1
her 5
him 2
his 7
ignore 1
impossible 1
in 7
increasing 1
influence 1
interlocking 1
into 1
investors 1
is 6
job 2
jude 2
lambert 3
lamberts 1
lands 1
late 3
life 3
lithuanian 1
lives 1
long 1
loses 2
loyal 1
makes 1
manipulative 1
marxist 1
massive 1
member 1
mental 1
middle 1
midwestern 2
mistakes 1
morning 1
move 1
moves 1
new 1
nineties 2
novel 1
of 11
on 2
organized 1
parents 1
parkinson 1
patriarch 1
personal 1
personality 1
philadelphia 2
physical 1
plotlines 1
problems 2
protestant 1
questionable 1
railroad 1
repressed 2
retires 1
romances 1
seemingly 1
separate 1
she 1
somewhat 1
son 1
soon 1
st 2
start 1
stern 1
still 1
student 1
successful 2
suffer 1
suffered 1
surface 1
suspects 1
swing 1
technology 1
tenuretrack 1
the 27
their 2
three 1
throughout 1
time 2
to 9
tortured 1
town 1
traditional 1
troubled 1
twentieth 1
tyrannical 1
up 1
values 1
when 1
who 1
whose 2
wife 3
with 2
youngest 1
