3359649
/m/097mb5
/m/097mb5
Steph Swainston
2004-04
2005 1
2007 1
2010 1
50 1
a 6
about 1
above 1
addiction 1
age 1
also 1
alternate 1
among 2
an 5
and 4
are 1
as 2
assault 1
at 1
bay 1
been 1
behind 1
being 2
book 1
but 1
by 2
called 1
can 1
capable 1
circle 1
comet 1
country 1
covers 1
danger 1
despite 1
do 1
drug 1
effect 1
elite 1
emperor 1
enters 1
exploits 2
far 1
fly 1
follows 1
fourlands 2
fourth 1
from 1
fullscale 1
group 1
halfbreed 1
have 1
he 1
held 1
him 1
his 1
hostile 1
humanoid 2
immortals 2
in 4
indispensable 1
insect 1
insects 2
intricate 1
intrigues 1
is 2
jant 3
killed 1
large 1
lethal 1
like 1
makes 1
messenger 1
modern 1
mortals 1
mostly 1
name 1
no 1
not 1
novel 1
of 9
only 1
or 1
other 1
overrun 1
part 1
person 1
present 1
previously 1
published 2
races 1
sequels 1
set 1
shift 1
side 1
snowline 1
so 1
species 1
spins 1
story 1
swainston 1
the 14
things 1
time 1
to 1
two 2
various 1
wall 1
warriors 1
was 1
which 3
who 2
world 2
