1858514
/m/061mx7
/m/061mx7
Andy Oakes

{"/m/0lsxr": "Crime Fiction"}
a 5
all 1
alternatively 1
american 1
an 4
and 6
ankles 1
archetypical 1
are 1
around 2
at 1
banks 1
barbara 1
being 1
book 2
bund 1
bureau 1
but 1
chained 1
characters 1
charles 1
chief 2
chinese 1
corpses 1
cynical 1
department 1
detective 1
determined 1
do 1
englishman 1
film 1
for 1
goes 1
good 1
grades 1
hardboiled 1
has 1
haven 1
hayes 1
he 2
her 1
higher 1
his 1
homicide 1
horrifically 1
huangpu 1
in 2
investigation 1
investigator 1
is 3
it 1
jaded 1
job 1
liping 1
man 1
member 1
missing 1
muddy 1
mutilated 1
named 1
near 1
necks 1
night 1
noir 1
noting 1
of 8
on 1
one 1
other 1
overweight 1
party 1
pessimistic 1
piao 2
politician 1
protagonist 1
public 1
reputation 1
resting 1
revolves 1
righteous 1
rural 1
search 1
security 1
selfdestructive 1
several 2
shanghai 2
sidekick 1
somewhat 1
son 1
sorts 1
spirited 1
story 1
storyline 1
sun 3
surgically 1
than 1
the 10
their 1
to 2
who 1
with 1
worth 1
yaobang 1
