7312115
/m/025ywh0
/m/025ywh0
Katherine Kurtz
1989
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
18 1
a 15
about 2
access 1
across 1
actions 1
after 5
again 1
age 1
agrees 1
aid 1
allies 1
allowing 1
ally 1
alroy 1
also 1
although 1
ancient 1
and 22
ansel 2
any 1
apparently 1
archbishop 5
are 3
as 9
assists 1
attempt 3
attempted 1
attention 1
august 1
aware 1
away 2
baptism 1
baptizer 2
be 2
becoming 1
before 2
begins 2
beings 1
believes 2
between 1
block 1
blocking 1
body 2
both 1
boundaries 1
breakthroughs 1
briefly 2
brother 4
but 3
by 3
camber 7
camberian 2
can 1
capable 1
ceremonial 1
ceremony 1
chance 1
church 1
comes 1
communes 1
communication 1
completed 1
consider 1
considering 1
contact 1
continue 2
continues 1
convince 1
convinces 1
council 4
court 1
cross 1
cult 5
dangerous 1
days 1
dead 1
death 6
deception 1
decomposing 1
departs 1
deryni 10
desperate 1
develop 2
discover 1
discoveries 1
discovers 1
discuss 1
disobedience 1
do 2
dom 1
dying 1
early 3
education 1
efforts 1
enable 1
energy 1
enlisting 1
establishing 1
evaine 9
even 5
ever 1
eyes 1
failed 1
faint 1
family 1
father 7
feels 1
few 1
final 4
finally 1
finishing 1
flee 1
flogged 1
following 1
for 5
forbids 1
forced 1
forever 1
formally 1
free 3
freely 1
from 6
funnel 1
further 2
gambling 1
genuinely 1
greater 1
grow 1
growing 2
gwynedd 2
haldane 3
harrowing 1
has 2
he 10
healer 1
heir 1
helplessly 1
her 6
heritage 1
herself 1
higher 1
him 8
his 16
hopes 1
hoping 1
house 1
hubert 9
if 2
immediate 1
important 1
in 10
influence 1
information 1
informs 1
into 2
is 7
january 1
javan 11
joram 5
just 1
keep 1
kill 1
kinevan 1
king 2
kingdom 1
knowledge 1
known 1
lady 1
last 1
later 2
lay 1
leaves 1
led 1
life 4
limbo 1
lines 1
long 1
lore 1
macinnis 1
macrorie 4
magical 2
maintain 1
makes 2
making 1
manipulate 1
may 5
meanwhile 1
mentally 1
merasha 1
mind 2
months 2
mortal 1
most 1
moves 1
must 1
mystical 1
need 2
new 1
no 1
nonetheless 1
not 2
novel 1
observe 1
of 19
once 1
oneill 1
only 1
out 1
over 1
own 1
passes 1
people 1
placing 1
plan 1
plane 1
plot 1
popularity 1
possibility 2
pours 1
powerful 1
powers 9
preach 1
preparations 3
priest 1
prince 3
probe 1
proceeds 1
process 1
properly 1
protecting 1
protection 1
provide 2
queron 4
quick 1
ready 1
realizing 1
recent 1
regents 4
regular 1
religious 4
remains 1
remove 1
researching 1
restore 1
result 1
revan 5
reveal 1
rhemuth 2
ritual 2
river 1
royal 1
sacrifice 1
safety 1
saint 1
save 1
secret 1
serious 1
sets 1
seven 1
several 2
she 3
shifting 1
shows 1
signs 1
sister 1
size 1
skeptical 1
slim 1
sneak 1
so 2
soul 2
spans 1
spell 3
spent 1
squire 1
start 1
stasis 1
state 3
strengthening 1
stripped 1
strives 1
study 1
subconscious 1
subjects 2
submit 1
succeeds 1
summer 1
supposed 1
suppression 1
survive 2
take 1
tavis 1
temporary 1
tested 1
that 8
the 42
their 9
them 2
themselves 1
then 1
thereby 1
they 3
through 1
throughout 1
thuryn 1
time 2
to 39
trapping 1
travel 1
travels 1
truly 2
truth 1
twin 1
two 2
until 1
uses 1
valoret 4
very 2
violent 1
visits 1
vocation 1
volunteers 1
vows 2
washing 1
watch 1
well 1
when 2
which 2
who 1
will 4
willing 1
with 8
within 1
wonders 1
work 2
wrath 1
young 1
