3681977
/m/09v5f0
/m/09v5f0
Catherine Asaro
2004-08-05
{"/m/06n90": "Science Fiction", "/m/02xlf": "Fiction"}
a 6
also 2
and 9
antiquated 1
approximately 1
around 1
arrives 1
as 1
assembly 2
at 1
attempting 1
back 1
becomes 1
begins 1
birth 1
book 1
breach 1
but 2
by 1
castle 1
ceases 1
child 2
claims 1
clutches 1
come 1
connections 1
control 1
couple 1
describe 1
due 1
during 2
eldrin 1
eldrinson 4
empire 6
ends 1
escapes 1
extreme 1
falls 1
feared 1
fears 1
final 1
finding 1
for 2
forced 1
from 2
get 1
gives 1
giving 1
grandson 1
he 2
her 4
hiding 1
his 10
horrors 1
hostilities 1
husband 1
imperator 1
in 3
incoming 1
instead 1
into 2
is 5
it 1
its 1
jagernaut 1
jarac 1
known 1
kurj 4
lack 1
lahaylia 1
lead 1
learn 1
love 1
massive 1
meaning 1
meeting 1
meets 1
more 1
most 1
mother 2
much 2
names 1
nature 1
new 1
novel 3
now 1
obsessed 1
obsessing 1
of 14
on 3
once 1
one 1
otherwise 1
over 1
part 1
past 1
people 1
periodically 1
perspective 1
pharaoh 1
planet 3
point 1
possesses 1
powerful 1
pregnant 1
primary 1
ranking 1
remainder 1
revolves 1
rival 1
roca 4
ruby 1
ruling 1
separation 1
she 5
shifts 1
ships 1
siege 1
skolian 3
skyfall 2
slavedriven 1
some 1
spends 1
stoic 1
stopping 1
stranded 2
superior 1
sway 1
technology 2
that 2
the 22
there 2
time 2
title 1
to 9
top 1
traders 2
trying 2
turbulent 1
under 1
up 1
uses 1
valdoria 1
voyage 1
war 1
warriors 1
we 1
weather 1
when 1
which 1
who 2
with 5
worst 1
year 1
