1825444
/m/05zxt7
/m/05zxt7
Enki Bilal
1986

a 23
about 6
accepted 1
accepts 1
access 2
admitted 1
afropakistian 1
afropakistiani 1
after 4
afterwards 1
agreement 1
air 1
alcide 2
alien 1
alleged 1
alpheratzish 1
also 3
an 5
and 23
another 4
antenna 2
appear 1
appears 1
are 2
around 1
arrive 1
arrives 2
arriving 1
article 3
asking 1
asks 2
at 5
back 2
bar 1
baudelaire 1
be 1
becomes 1
bed 1
before 2
beginning 1
berlin 9
bioskop 2
block 3
blue 1
body 6
boy 1
brutal 1
but 4
by 5
call 2
called 1
camera 1
can 2
career 1
cat 1
centers 1
champagne 1
changed 1
chelsea 1
cleaned 1
coffee 1
cold 1
coma 1
come 1
concrete 4
conflict 1
conflicts 1
contains 1
continues 1
control 1
controlled 1
cover 3
cup 1
day 1
days 1
de 2
dead 1
deal 1
deep 1
demands 1
denied 1
desk 1
didnt 1
dies 1
dinner 4
discover 1
discovered 1
discovers 1
discovery 1
discuss 1
down 1
drink 1
driver 1
drug 2
during 6
editorial 1
egg 2
egyptian 2
erase 2
erases 1
especially 1
europe 3
evening 2
events 1
every 1
everybody 2
everything 1
exactly 1
expected 1
eyes 1
fact 2
father 1
fax 1
feels 1
few 1
fighting 1
finds 2
flees 1
flight 1
followed 3
for 3
former 1
four 1
freed 1
friend 3
from 7
front 1
fully 1
get 1
glass 1
god 1
gods 1
goodbye 1
government 1
had 2
hair 1
has 4
hasnt 1
having 1
he 11
hear 1
hearing 1
her 12
herself 1
him 5
his 8
hlv 2
horus 10
hospital 2
hotel 6
however 1
human 1
hurries 1
i 3
illness 1
immortal 1
in 26
informant 1
inquires 1
interpreted 1
into 1
invitation 2
involved 1
is 20
it 1
ivan 6
jeff 4
jill 20
john 9
journalist 4
jr 1
kill 1
kiss 1
knocks 1
later 1
learns 1
least 1
leave 1
leaves 1
leaving 1
left 1
liberation 1
lobby 1
local 1
london 1
made 1
making 1
mars 1
mauer 2
meanwhile 1
media 1
meets 1
memory 3
men 1
mental 1
might 1
minority 1
missing 1
more 1
morgen 2
murder 2
murdered 3
murders 1
must 1
neighbourhood 1
news 4
next 2
nick 3
night 1
nikopol 9
notes 1
notices 1
nurse 1
observation 1
of 32
offers 1
office 1
old 1
on 5
onboard 1
once 4
only 1
or 1
orders 1
other 1
palast 2
paper 1
paris 1
phone 2
phonebooth 1
piece 1
pill 3
pills 2
pocket 1
police 2
port 1
preparing 1
printed 1
psychiatric 1
psychiatrist 1
punishment 1
pyramid 2
questioning 1
quoting 1
railway 1
receives 2
recovered 1
red 4
report 1
reporting 1
restaurant 1
resulting 1
results 1
return 1
returns 1
reviews 1
room 7
row 1
same 1
says 3
scriptwalker 4
scripwalker 1
several 1
she 13
shot 1
shown 1
skin 1
sneak 1
something 2
somewhere 1
space 2
speaks 1
spirit 1
spot 2
station 1
staying 1
stops 1
story 4
suburbs 1
suddenly 1
survivor 2
taken 1
takes 3
taking 1
taxi 2
telepathic 1
tells 2
that 10
the 63
them 1
these 1
they 3
thinks 1
this 1
three 2
through 1
time 1
times 1
to 22
told 1
towards 1
transported 1
travel 1
travelling 1
travels 1
tries 2
two 2
up 1
upon 1
used 1
uses 1
usual 1
vabek 2
vessel 1
visit 1
voice 1
wakes 1
walks 1
want 1
war 2
was 5
watch 1
water 1
way 1
ways 1
what 1
when 2
where 4
which 10
while 3
white 1
who 3
whose 1
with 10
woman 1
workers 1
working 2
writing 1
wynatt 1
years 1
yet 1
zubenubisch 1
