619368
/m/02x9vb
/m/02x9vb
Arthur Koestler
1940
1 3
10 1
133 1
135 1
20 1
402 2
5 1
a 33
about 5
abscessed 1
absolve 1
abuses 2
achieve 1
achieving 1
act 1
actions 3
adjacent 1
admire 1
affected 1
after 7
against 1
age 1
agents 1
aim 1
all 1
allow 1
also 2
alternatives 1
although 2
among 1
amputated 1
an 6
and 46
anxiety 1
any 2
anymore 1
are 5
arguments 1
arlova 1
arm 1
arrest 2
arrested 2
arrests 1
as 14
asking 1
assignment 2
assignments 1
at 6
authorities 1
back 2
background 1
barbarism 1
be 8
become 1
been 1
begins 6
begs 1
being 3
belgian 2
belgium 2
believe 3
believes 1
berlin 1
betrayed 3
betrays 1
between 5
bolshevik 1
bolsheviks 2
book 1
both 3
bother 1
bottom 1
breaks 1
brought 1
brutal 1
brutality 1
but 9
by 13
called 1
came 1
camp 1
can 3
cannot 1
canteen 1
capitulates 1
cause 2
caused 1
causes 1
cell 5
characterizes 1
charges 3
chief 1
christian 2
christianity 1
civil 1
civilized 1
claims 1
closer 1
code 1
collectivization 1
coming 1
commendation 1
commit 1
commitment 1
communicate 1
communism 3
communist 4
communists 4
completely 1
conclusion 1
condemned 1
conducted 1
confess 3
confesses 1
confession 2
confinement 1
confronts 1
conscience 1
consider 1
contemporaries 1
continue 1
continues 2
contrary 1
contrast 2
conversation 1
convince 1
convinced 2
cooperate 1
could 1
country 1
courteous 1
create 1
crops 1
current 1
cynic 1
darkness 3
days 1
deaths 1
debt 1
dedicated 1
dedication 1
deliberate 1
demoralize 1
denounce 1
deprivation 1
despite 2
details 1
determined 1
deviated 1
devotion 1
diary 1
difference 1
discipline 2
discuss 2
discussed 1
disgust 1
disgusted 1
distributed 1
divided 1
do 2
dock 3
does 2
doesnt 1
dont 1
doubts 1
down 2
dread 1
dream 1
dreams 1
driver 3
due 1
during 3
each 1
elite 3
embargo 1
embarrassed 1
enable 1
encounter 1
end 1
ends 1
endured 1
enforce 1
entire 1
entry 1
especially 1
ethiopia 1
eventually 1
evidence 1
examination 1
examiner 1
execution 2
executions 1
expecting 1
expelled 1
experience 1
explains 2
faith 2
false 1
fare 2
fate 1
fearlessness 1
ferdinand 1
few 2
fiction 1
field 1
file 2
final 2
finally 2
find 1
finished 1
first 5
following 1
for 9
force 1
forcing 1
foreign 1
forgiven 1
formal 1
forth 1
four 1
fourline 1
free 1
friend 1
from 5
fully 1
future 1
gained 1
gaining 1
game 1
gathered 1
generation 2
generations 1
gentleness 1
german 4
gestapo 3
getting 1
girlfriend 1
give 1
given 1
glaring 1
gletkin 8
goal 3
goals 1
government 2
grammatical 1
grants 1
groups 1
guaranteeing 1
had 3
hand 1
hangs 1
happiness 1
hard 1
hardly 1
harmful 1
harsh 2
has 7
have 3
hazardous 1
he 35
hear 1
hearing 4
helped 1
hero 1
him 15
himself 1
his 26
historical 1
history 3
hitler 1
hopes 1
hours 1
hovers 1
how 2
humane 1
humors 1
idealist 1
if 1
imagery 1
immigrant 1
immobility 1
immorality 1
implies 2
imposed 2
imprisoned 2
in 21
increasing 2
individual 1
individuals 1
insists 1
instead 1
instructions 1
intellectual 2
intends 1
international 1
interpretation 2
interrogation 1
into 2
introduces 2
invasion 1
ironical 1
is 33
it 4
italian 1
italians 3
italy 2
its 2
ivanov 13
joining 1
junior 1
just 1
kept 1
killed 1
kind 1
koestler 1
labor 1
lamp 1
lasalle 1
late 1
later 1
latest 1
leader 2
league 1
leaves 1
leg 1
lessen 1
life 4
lifetime 1
like 1
line 2
lingering 1
little 4
live 1
loewy 3
logic 1
logical 2
loyal 1
major 2
makes 2
man 5
many 1
marxist 2
mass 1
material 1
materials 1
matter 1
may 1
meditates 1
men 5
met 1
methods 1
middle 1
million 1
millions 1
modernity 1
much 2
museum 1
must 4
name 1
narrative 1
nations 1
nazis 1
needed 1
never 1
new 2
next 1
nicknamed 1
night 1
nkvd 1
no 6
noon 3
not 12
novel 5
objectively 1
of 41
offers 1
officered 1
official 1
oil 2
old 5
older 3
on 6
one 3
only 1
opinion 1
opposition 1
or 3
other 6
others 1
over 3
own 2
parts 1
party 15
pass 1
passing 1
past 2
pays 1
peasants 1
people 1
perhaps 1
persuade 1
persuaded 1
physical 2
picture 1
pieta 2
place 1
play 1
point 1
police 2
policies 1
policy 1
political 1
port 1
portrayed 1
possible 1
power 4
prison 2
prisoner 2
processes 1
proven 1
publications 1
publicly 1
purge 1
quandary 1
quickly 2
quotation 1
rank 2
raxicab 1
react 1
realizes 3
realizing 1
reasoning 1
recalls 3
receding 1
receive 1
recently 1
recognises 1
reducing 1
refuse 1
refute 1
regime 1
release 1
relevant 1
relieved 1
reorganize 1
repaid 1
repeatedly 3
request 1
requests 1
resources 2
return 1
returns 1
revolution 1
richard 5
rubashov 41
run 1
ruthlessness 2
sacrificed 1
same 1
says 3
scene 1
second 3
secret 2
secretarymistress 1
secretly 1
section 2
see 1
seem 2
seems 1
send 1
sends 1
sent 2
sentence 1
several 1
sexual 1
shares 1
shipments 1
shot 1
show 1
simplicity 1
simply 1
since 2
sit 1
situation 2
sleep 1
so 1
socialist 5
soldiers 1
solitary 2
sometimes 1
somewhat 1
soon 1
speculate 1
still 1
story 1
straightforward 1
strategic 1
struggles 1
successors 1
such 1
suffering 4
suggested 1
suggesting 1
suicide 1
supply 1
