5738471
/m/0f22g1
/m/0f22g1
Randall Garrett
1988
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction", "/m/01hmnh": "Fantasy"}
a 2
add 1
an 1
and 4
anglofrench 1
apparently 1
as 1
ascertain 1
attend 1
between 1
business 1
ceremony 1
cold 1
complicate 1
courland 1
crown 1
darcy 3
doing 1
duke 1
during 1
eastern 1
empire 2
europe 1
for 1
gaul 1
great 1
gwiliam 1
he 1
himself 1
his 1
in 1
international 1
investigate 2
investiture 1
is 5
it 1
ivs 1
john 1
kill 1
killing 1
king 3
lancaster 1
latvia 1
lord 1
magic 1
majesty 1
matters 1
most 1
murderer 1
must 2
of 7
ongoing 1
ploy 1
poland 2
preparations 1
prince 2
ruling 1
sent 1
so 1
someone 1
son 1
tension 1
the 9
there 1
this 1
timeline 1
to 4
uncover 1
use 1
war 1
whether 1
whole 1
will 1
without 1
wizards 1
younger 1
