5248563
/m/0d9wfw
/m/0d9wfw
Lindsey Davis
1994
{"/m/0lsxr": "Crime Fiction"}
a 3
act 1
also 1
at 1
attempts 1
disappearance 1
drowning 1
due 1
east 1
empire 1
encounter 1
falco 2
for 1
fulfil 1
group 1
have 1
he 2
helena 1
his 2
in 2
investigate 1
investigations 1
joining 1
just 1
justina 1
last 1
lost 1
mission 1
musician 1
new 2
of 2
on 1
palmyra 1
petra 1
plans 1
play 1
playwright 1
same 1
sophrona 1
spoke 1
spook 1
spying 1
takes 1
the 5
theatre 1
their 1
them 1
they 1
time 1
to 5
travels 1
various 1
vespasian 1
where 1
whilst 1
who 2
with 1
write 1
young 1
