1845227
/m/060hxb
/m/060hxb
Hugh Lofting

{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 16
abandoned 1
act 1
africa 2
after 3
again 2
all 1
and 8
animal 1
animals 3
appreciation 1
are 2
arrested 1
arriving 1
as 3
bachelor 1
back 2
band 2
bankruptcy 1
barely 1
being 1
beloved 1
bleaching 1
borrow 1
boy 1
bring 1
bumpo 2
but 4
by 2
captured 1
circus 1
clientele 1
conscripted 1
country 1
couple 1
crew 2
crocodile 1
cross 1
cure 1
desire 1
dire 1
dolittle 6
dr 1
english 1
enough 1
epidemic 2
escape 1
escapes 1
european 2
eventually 1
exchange 1
exploitation 1
face 1
faces 1
fairytale 1
fall 1
fame 1
favourite 1
finally 1
find 1
for 1
fortunes 1
from 1
gazelleunicorn 1
gives 1
greatest 1
grows 1
has 1
have 1
he 6
health 1
help 1
his 12
home 3
household 1
human 1
in 7
indeed 1
into 1
is 4
island 1
it 2
john 1
jolliginki 2
just 1
king 1
kingdom 3
leading 2
learning 1
living 1
loaded 1
loss 1
love 1
makes 3
may 1
md 1
men 1
menagerie 1
money 2
monkey 3
monkeys 2
no 1
nurses 1
of 10
off 1
on 3
over 1
parrot 1
physician 1
pirate 1
pirates 1
polynesia 1
practice 1
prince 2
puddleby 1
puddlebyonthemarsh 1
pushmipullyu 2
quiet 1
raging 1
rarity 1
rescuing 1
residence 1
respected 1
result 1
retire 1
return 1
reuniting 1
rise 1
rock 1
runins 1
ruse 1
sails 1
scares 1
secret 1
ship 3
shipwrecked 1
shy 1
sick 1
sister 1
small 1
speaking 1
spinster 1
spreads 1
supplies 1
takes 2
the 18
them 1
then 1
they 2
things 1
this 1
throughout 1
time 1
to 13
tours 1
traveling 1
treasures 1
trip 1
two 1
twoheaded 1
uncle 1
until 1
up 2
upon 1
vaccinates 1
veterinary 1
victim 1
village 1
voyaging 1
wants 1
was 1
way 1
wealth 1
well 1
where 1
white 2
who 2
whose 2
winning 1
with 6
world 1
years 1
