6950558
/m/0gyjb1
/m/0gyjb1
Noah Ashenhurst
2005-11-25
13 1
a 9
accident 1
addict 1
after 1
alaska 1
an 1
and 8
ascent 1
at 1
bellingham 1
brian 2
bridgette 2
budapest 1
budding 1
college 1
comfort 1
covered 1
current 1
dave 3
delany 3
denali 2
deserts 1
earlier 2
eastern 1
emphasis 1
europe 1
exboyfriend 1
experiences 1
fetzler 1
focus 1
food 1
former 1
friend 1
frustrations 1
gillmanreinhart 1
girlfriend 1
graduate 1
greibing 1
gritty 1
heroin 1
his 1
human 1
illuminates 1
importance 1
in 4
is 2
john 2
jonsen 1
life 1
literary 1
lives 1
local 1
meet 1
mountaineer 1
musician 1
northwest 1
novel 1
of 8
old 1
on 2
pacific 1
place 1
previous 1
relationships 1
richardson 1
road 1
roommate 1
sandstone 1
sections 1
sense 1
set 1
small 1
snow 1
snyder 1
stan 3
stoner 1
streets 1
student 1
successive 1
summer 1
that 1
the 6
their 1
through 3
tragic 1
trip 2
university 1
utah 2
verdant 1
washington 1
wasteland 1
we 1
with 1
work 1
writer 1
