786078
/m/03c5xt
/m/03c5xt
Max Beerbohm
1911
{"/m/06nbt": "Satire", "/m/05hgj": "Novel"}
a 15
able 1
academic 1
admit 1
affections 1
affirm 1
after 1
age 1
agree 1
agrees 1
all 6
allmale 1
alma 1
also 3
altogether 1
an 2
ancient 1
and 5
another 1
anyone 1
apparently 1
appear 1
as 10
astonished 1
at 3
attempt 1
attractive 1
awareness 1
away 1
barely 1
based 1
battlements 1
beauty 2
because 1
beerbohm 1
bewitching 1
black 1
boat 2
bound 1
brief 1
but 2
butler 1
by 6
cambridge 1
can 1
cannot 1
celebrity 1
charms 1
claims 1
club 1
college 2
come 1
commit 2
committing 1
control 1
cowardly 1
crushing 1
current 1
dawn 1
day 1
daymdashwhich 1
dead 1
death 1
debating 1
decide 1
decides 3
decreed 1
delay 1
detached 1
die 2
dinner 1
discovers 1
discusses 1
dobson 1
does 1
doing 1
domain 1
doom 1
dorset 2
drowns 1
duke 11
dying 2
edwardian 1
embrace 1
emotionally 1
enamoured 1
enrapturing 1
entrance 1
era 1
eve 1
even 1
eventually 1
ever 1
every 1
example 1
except 1
fall 2
fallen 1
falls 1
family 1
fatale 1
feelings 1
feels 1
fellow 1
femme 1
first 5
fly 1
follow 2
follows 1
for 10
forced 1
formerly 1
from 3
gain 1
garter 1
gods 1
goes 1
governess 1
grandfather 2
hall 1
has 1
have 5
having 1
he 12
her 20
hermdashis 1
himself 3
his 12
hooting 1
hopes 1
hoping 1
however 2
idea 1
immediately 1
impervious 1
importantly 1
impulsively 1
in 8
including 1
inevitably 1
innocently 1
instead 1
interacted 1
interprets 1
interrupt 1
into 1
is 8
isis 1
it 1
judas 1
jumps 1
just 1
kill 1
killing 1
knight 1
lack 1
last 1
later 1
less 1
life 2
long 1
longer 1
love 8
made 1
makes 1
manages 1
mater 1
may 1
members 1
men 3
merton 1
minds 1
more 2
morning 1
name 1
next 2
night 2
no 1
noaks 2
not 2
notice 1
notion 1
now 1
occupation 1
of 21
omen 1
on 4
one 1
only 1
oppose 1
or 1
ordeal 1
order 1
other 1
others 1
over 1
overwhelms 1
owls 3
oxford 6
passion 1
perch 1
perhaps 1
permitsmdashhas 1
place 1
plan 1
pledging 1
portentous 1
power 1
present 1
prestidigitator 1
privileged 1
profession 1
promptly 2
proposing 1
proudly 1
quickly 1
races 1
raise 1
reaches 1
receives 1
reciprocated 1
rejects 1
remain 1
reporting 1
return 1
reveals 1
river 3
robes 1
romanticised 1
same 2
seat 1
seeing 1
seeming 1
seems 1
sees 1
she 8
shouting 1
sight 1
sign 1
smalltime 1
snobbish 1
social 1
some 1
something 1
soon 1
special 1
staff 1
still 1
stop 1
student 2
stunningly 1
suicide 6
suit 1
suitors 1
symbolise 1
tankerton 2
telegram 1
telling 1
tells 1
terrible 1
that 12
the 45
their 2
them 1
themselves 1
there 2
they 2
this 1
though 1
through 2
thunderstorm 1
time 2
to 18
too 2
tradition 1
train 1
true 1
two 1
undergraduate 1
undergraduates 4
unexpectedly 1
university 1
unknown 1
unless 1
upon 3
valuable 1
vanished 1
view 1
warden 1
was 2
way 1
wearing 1
week 1
when 2
where 1
whether 1
while 3
who 3
whomdashfrustrated 1
will 4
with 10
without 1
woman 1
young 1
zuleika 12
