659044
/m/02p2sls
/m/02p2sls
Patrick O'Brian
1996
{"/m/02xlf": "Fiction", "/m/0hwxm": "Historical novel"}
a 25
about 3
accepts 1
accuses 1
activities 1
admiral 7
admiralty 1
adultery 1
affair 1
after 2
again 2
against 1
agent 1
agrees 1
ailment 1
all 2
also 3
amanda 1
an 4
and 31
animals 1
announces 1
another 1
apparently 1
appears 1
appoints 1
approval 1
approving 1
arrives 2
as 4
ashgrove 1
ashore 1
asks 1
assistance 1
at 11
attempts 1
aubrey 1
authorities 1
avoid 1
barrett 1
battering 1
bay 1
becomes 1
been 3
before 2
behind 1
being 1
bellona 11
bernard 1
black 1
blaine 2
blaines 1
blockade 1
blockading 4
blockadingsquadron 1
bonden 1
boxingmatch 1
brest 4
brings 1
british 1
broadsides 1
burgle 1
but 5
by 3
can 1
captain 1
captains 2
captured 2
captures 2
catalan 1
catching 1
challenge 1
champion 1
charlotte 1
chase 1
chasing 1
chile 2
chilean 3
chileans 2
clarissa 1
coast 1
come 1
comes 3
command 2
commanderinchief 1
committee 1
commodore 1
common 1
commons 1
company 2
compel 1
concerning 1
consults 1
contrives 1
cornwall 1
cottage 1
covert 3
dangerous 1
dark 1
day 1
decides 1
departs 1
dependency 1
despite 1
deux 1
diana 2
dinner 2
displeased 1
disputes 1
distant 1
docks 1
dorset 1
dripping 1
driving 1
due 1
during 4
duty 1
early 1
effectively 1
elba 1
employment 1
enclose 1
enclosing 3
enclosure 2
endlessly 1
ends 1
england 1
enjoying 1
enlightened 1
escaped 1
estate 1
expedition 1
explains 1
exploring 1
exposed 1
families 1
family 4
feeling 1
few 1
fighting 1
finances 1
find 2
finds 2
fittingout 1
flagship 3
flagshipsignal 1
fleet 3
foggy 1
following 1
for 16
force 1
forgiveness 1
fortune 2
france 1
french 4
from 10
fronts 1
frres 1
gamekeeper 1
getting 2
gibraltar 1
give 1
goes 1
gold 1
grapes 1
grazing 1
griffith 1
griffiths 2
guineamen 1
had 2
harbour 2
has 7
have 4
having 4
he 11
heads 1
hears 1
help 1
her 3
him 10
his 12
home 1
house 1
immediately 1
imminent 1
impoverished 1
in 16
increasing 1
independence 2
independencemovement 1
inference 1
information 1
informer 1
informs 1
inigo 1
initiate 1
inner 2
inshore 1
intelligence 1
intention 1
into 1
invaluable 1
invites 1
involving 1
is 1
island 1
it 2
jack 34
jacks 2
joseph 1
keep 1
keeping 1
keith 1
land 2
landing 1
landowners 1
laughable 1
lea 4
learns 1
leave 2
leaves 2
leaving 1
legal 1
les 1
letter 3
liberties 1
list 1
london 2
lookout 1
lord 2
loses 1
lover 1
made 1
madeira 2
making 1
manoeuvres 1
manor 1
many 1
mate 1
maturin 1
means 1
mediterranean 1
meet 1
men 1
merchantman 1
message 2
miss 2
mission 3
months 2
moon 1
morally 1
more 1
mother 1
mr 1
napoleon 2
navy 2
near 1
needing 1
negotiations 1
neighbour 1
neighbours 1
nephew 1
not 2
novel 2
number 1
of 23
off 2
officer 1
offshore 1
on 9
once 3
one 1
only 1
opens 1
opposes 1
ordered 1
orders 2
ordinary 1
out 1
outwardly 1
own 1
paid 1
pan 1
parliamentary 2
part 1
partly 1
pass 1
patrolled 1
penniless 1
perhaps 1
peru 1
plan 3
plot 1
point 2
port 1
possibility 1
possibly 1
potentially 1
pratt 1
predicts 1
presents 1
preventing 1
prevents 1
privateer 2
prize 1
problems 1
process 1
progress 1
proindependence 1
proposal 2
pub 1
punishes 1
queen 1
rebuffs 1
rebukes 1
recalling 1
receives 3
receiving 2
reconciliation 1
redhanded 1
reference 1
regarding 1
repaired 1
repairs 2
repeatedly 1
report 1
restored 1
retinue 1
retrieve 2
return 2
returned 2
returns 6
revolutionary 1
rich 1
ringle 2
rowed 1
royal 1
run 1
rushes 1
same 2
savoy 1
sector 1
see 1
seeing 1
seen 1
seized 1
sell 1
sending 1
set 1
sets 3
seventyfours 1
sex 1
she 3
ship 3
ships 3
should 1
simmon 4
sir 1
situation 1
slavingships 1
slip 1
smith 1
so 3
solvent 1
something 1
soon 1
sophie 7
spain 1
spanish 4
spend 2
spots 1
spy 1
squadron 6
stay 1
stephen 21
steps 1
still 1
stops 1
storage 1
storm 1
straits 1
stranraer 3
subsequently 1
suggested 1
superior 1
surgeon 1
surprise 1
surrender 1
suspended 1
sweeps 1
tack 1
take 1
taken 1
telling 1
tells 3
thank 1
that 12
the 87
their 4
then 1
there 1
they 2
this 4
threat 1
three 1
through 2
thus 1
time 7
to 47
together 1
tour 1
trap 1
treatment 1
treats 2
turn 1
two 4
under 1
understanding 1
unexpectedly 1
up 1
upon 1
very 1
view 1
villagers 2
visit 1
vote 2
voting 1
waiting 1
wants 1
war 1
was 2
wealthy 2
weather 1
where 1
which 6
while 2
who 1
will 3
with 12
without 1
woolcombe 4
worldevents 1
writes 1
yellowed 1
