11891810
/m/02rx0hs
/m/02rx0hs
Will Shetterly
1997-06
a 1
adult 1
american 1
an 1
and 1
approach 1
attraction 1
because 1
breed 1
by 1
called 1
can 1
christopher 1
club 1
colourblind 1
controversies 1
dog 1
every 1
exhibits 1
family 1
father 2
florida 1
focuses 1
four 1
from 2
he 1
his 4
in 1
is 2
it 1
kennel 1
life 1
move 2
new 1
nix 1
novel 1
occur 1
of 5
on 1
open 1
orleans 1
perspective 1
purpose 1
racial 1
recognised 1
recounts 1
segregation 1
so 1
story 2
that 3
the 6
their 1
to 2
told 1
tourist 1
various 1
was 1
when 1
who 1
