5359189
/m/0dh969
/m/0dh969
Robert Bloch
1959
{"/m/01jfsb": "Thriller", "/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/05hgj": "Novel", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
40000 1
a 30
about 1
abused 1
accepts 1
accidentally 1
actually 1
affection 1
after 6
agree 1
all 1
alternate 1
ambushes 1
an 2
and 29
another 1
anything 1
arbogast 5
are 1
argument 1
arouses 1
arrives 2
as 4
asks 1
at 4
away 1
bachelor 1
bates 24
be 1
became 1
because 1
becomes 1
been 1
before 2
beheads 1
between 1
bitch 1
body 1
boss 1
both 1
bottle 1
boyfriend 1
breakdown 1
briefly 1
business 1
but 3
butcher 1
by 4
calls 1
can 1
cellar 1
changes 1
client 1
clothes 2
codependence 1
comes 2
comfort 1
committed 1
communicated 1
company 1
completely 1
considers 1
conversation 1
convinced 1
corpse 3
could 2
crane 1
crazy 1
customer 1
days 1
dead 2
death 1
debts 1
decides 1
denies 1
developed 1
dinner 3
disappearance 1
discover 1
dispose 1
distracts 1
dominated 2
done 1
dress 1
dressed 1
drunk 1
during 2
edge 1
end 1
enters 2
estate 1
eventually 1
ever 1
examined 1
exhausted 1
fairvale 3
father 1
feeling 1
figure 3
finding 1
finds 1
floundered 1
for 7
forbids 1
forging 1
found 1
from 2
fruit 1
gently 1
get 2
go 5
goes 2
going 1
goodnight 1
guilt 1
had 9
handwriting 1
harm 1
has 2
have 2
having 2
he 15
heated 1
her 16
herself 1
highway 2
him 10
himself 1
hired 1
his 19
horrified 1
house 4
housean 1
however 1
ill 1
illusion 1
impulsively 1
in 16
insane 1
instantly 1
institution 4
into 3
investigate 2
investigator 1
invitation 2
is 9
it 1
jealous 1
jealousy 1
joined 1
kill 1
killed 2
kills 1
knife 1
knifenorman 1
knocks 1
lack 1
later 2
lead 1
learns 1
left 1
let 1
letting 1
life 5
like 1
lila 9
literally 1
little 1
lived 1
look 1
loomis 1
lover 3
main 1
married 1
mary 14
matricide 1
meantempered 1
meanwhile 1
meet 1
meets 1
mental 3
middle 1
middleaged 1
milton 1
mind 2
moments 1
money 3
motel 4
mother 16
mrs 5
mummified 1
murdered 1
murderer 1
mysterious 1
named 1
nervous 1
night 1
nightmare 1
norman 3
not 1
note 1
of 9
off 2
old 2
on 3
one 1
only 2
out 1
over 2
overhears 1
own 1
passed 1
pay 1
personality 3
poisoned 1
poisoning 1
police 1
preserved 1
pretended 1
prison 1
private 1
proceeds 1
prods 1
psychiatrist 1
puritanical 1
put 2
quicksand 1
rage 1
razor 1
real 1
refuses 1
relocated 1
resembling 1
resolving 1
retrieve 1
return 1
returns 2
room 3
run 2
rushes 1
sam 11
same 1
says 3
screams 2
search 1
self 1
sends 1
sent 1
she 10
sheriff 1
sheriffbut 1
shower 1
since 2
sinks 1
sister 2
small 1
so 2
social 1
sometimes 1
soon 1
speak 1
split 1
state 2
states 1
station 1
stealing 1
stole 2
subdues 1
suggests 1
suicide 2
suppress 1
surprises 1
suspicion 1
takes 1
talk 2
talks 1
tell 1
tells 3
that 10
the 35
them 4
then 2
there 1
they 3
this 1
threatened 1
time 1
to 30
together 2
took 1
total 1
town 2
tricked 1
try 1
turn 1
turning 1
unconscious 1
under 1
up 4
usual 1
vehemently 1
voice 1
waiting 1
was 5
we 1
went 2
when 3
whenever 1
where 1
which 4
while 2
who 7
will 1
with 13
woman 4
works 1
would 1
wrong 1
years 2
young 2
