2253107
/m/06zfk7
/m/06zfk7
Nick Hornby
2005-06-07
{"/m/02xlf": "Fiction"}
0 1
18 1
31st 1
51 1
8 1
a 29
about 4
absence 1
accepts 1
according 1
accusations 1
accuses 1
admits 1
after 6
afternoon 1
afterwards 1
again 3
airport 1
all 4
also 1
although 1
ambition 1
an 4
and 38
angel 2
angelstory 1
another 3
any 1
apologizes 1
apology 1
appear 1
are 6
argument 1
article 1
asks 3
at 10
attack 1
attended 1
awkward 1
back 4
bad 1
band 2
basement 2
be 2
because 4
been 1
behavior 2
between 1
blame 1
blind 1
boss 1
both 1
bothers 1
bridge 1
bring 2
busker 1
but 4
by 2
cable 1
calls 2
care 1
chance 1
chas 4
cheating 1
children 1
cindy 3
claim 1
claims 2
clear 1
come 1
comes 1
commit 2
committing 1
condition 1
confess 1
conversation 2
convince 1
crying 1
damon 1
day 3
days 2
death 1
decide 9
decided 1
decides 4
decision 1
denies 1
deny 1
detect 1
didnt 1
disaster 2
discuss 1
disgraced 1
do 1
doesnt 1
dont 1
drive 1
drunk 1
during 1
each 1
earrings 2
edition 1
education 1
eve 1
evening 1
exboyfriend 1
explains 1
explanation 1
exwife 1
eye 1
false 1
father 4
fear 1
feetup 1
fight 3
fighting 1
find 4
finding 1
fired 1
first 1
flirt 1
following 2
for 7
former 1
forms 1
four 4
from 9
front 1
frustration 1
gets 1
girl 3
gives 2
go 4
group 1
guests 1
had 3
happy 1
has 7
have 7
he 12
heath 1
help 3
her 18
herself 1
him 5
his 11
hold 1
home 2
hotel 2
house 3
housewife 1
how 1
however 1
idea 2
if 1
in 13
individual 2
information 1
interested 1
interview 3
invites 1
is 15
it 2
jen 4
jess 27
jj 11
job 2
jobs 1
join 1
jump 3
jumping 3
jumps 1
junior 1
kids 1
kill 1
killing 1
know 1
knows 1
later 3
learns 1
leave 1
leaving 1
left 1
life 3
like 2
linda 3
lives 2
london 3
lonely 1
looked 1
looks 1
lose 1
loses 1
lost 1
made 2
make 1
man 2
many 1
march 1
martin 19
martins 1
matt 1
matty 2
maureen 13
maybe 1
meet 5
meeting 5
meets 1
member 1
mistakes 2
money 1
months 1
morning 2
mother 2
music 1
musician 1
need 1
new 4
newspaper 3
newspapers 1
newspaperstore 2
next 2
night 1
ninety 1
no 1
not 4
now 1
nurses 2
obviously 1
oclock 1
of 20
off 1
offers 1
old 4
on 9
one 3
only 1
organize 1
organizes 1
other 3
others 2
out 7
overcome 1
pair 1
parents 2
part 3
partner 1
party 2
passed 1
paul 1
penny 2
people 4
place 3
plan 1
plane 1
planning 1
plans 1
police 1
present 1
presenter 1
press 3
profit 1
promised 1
promising 1
protect 2
pupils 1
quiz 1
quizteam 1
read 1
realize 1
receives 1
refuses 1
relatives 1
reporter 2
reputation 1
roof 4
room 1
rude 1
ruined 1
runs 1
saint 2
saved 1
saw 2
screaming 1
sean 2
second 3
secretary 1
sees 1
seventeen 1
sharp 2
she 7
show 3
similar 1
sister 1
sit 1
six 1
slept 2
so 3
solitude 1
speculation 1
spend 1
starbucks 3
start 1
stephen 1
still 1
stolen 1
stop 1
stories 1
suggests 1
suicidalpact 1
suicidalreport 1
suicide 3
suppose 1
take 3
takes 1
talk 1
talking 2
talks 1
task 1
taxi 2
teaches 1
team 1
teenager 1
telling 1
tells 1
tenerife 1
that 21
the 59
their 6
them 5
themselves 2
they 32
theyd 1
thing 1
thinks 1
third 1
three 1
thus 2
to 59
together 1
told 1
took 1
top 1
topper 3
torley 1
trip 1
true 1
try 3
turned 1
tv 4
unfortunate 1
unsuccessful 1
until 1
untouched 1
up 1
upset 1
uses 1
utters 1
vacation 2
valentine 2
very 3
visit 1
wait 2
want 2
wanting 1
wants 2
was 1
watching 1
way 1
week 1
when 2
where 1
which 1
while 3
who 7
whole 1
why 1
will 1
with 10
without 1
works 1
year 1
years 2
young 1
