5639472
/m/0dxpl2
/m/0dxpl2
Glen Cook
1987-08
{"/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 14
able 1
accident 1
acquired 1
after 1
along 2
although 1
an 2
and 11
approached 1
are 1
army 2
arrive 1
as 4
assumed 1
back 1
battle 1
be 4
become 1
becomes 1
begin 1
boys 1
bride 1
buddy 2
but 5
by 3
cantard 4
centaur 1
chodo 1
claims 1
contague 1
cousins 1
criminal 1
dead 2
death 2
debt 1
deep 1
deliver 1
delivers 1
denny 5
desperate 1
different 1
door 1
dotes 1
family 1
fee 1
find 2
first 1
fling 1
for 4
forcing 1
fortune 4
friend 1
from 2
full 1
gang 1
garrett 13
get 1
goes 1
had 1
halfelf 1
harbor 1
has 1
having 1
he 3
head 2
heads 1
heart 1
help 1
her 2
him 1
hire 1
his 5
house 1
in 14
inactive 1
inheritance 1
insider 1
instead 1
into 1
investigate 1
involved 1
is 3
kayean 6
kills 1
kingpin 1
kronk 3
lair 1
large 1
last 1
later 1
leader 1
left 1
lived 1
living 1
locate 1
loghyr 1
loved 1
major 1
man 1
meanwhile 1
more 2
morley 4
moves 1
name 1
new 3
no 1
not 1
novel 1
novels 1
obvious 1
of 12
off 1
old 2
on 1
one 1
opening 1
ordeal 1
out 4
over 1
part 3
parties 1
partnership 1
plays 1
portion 1
purchases 1
receives 1
reluctantly 1
rescues 1
rest 1
returns 1
reunited 1
riches 1
ride 1
rise 1
role 2
rose 1
roze 2
saucerhead 1
search 1
sent 1
series 2
silver 1
sleeping 1
somewhere 1
spent 1
start 1
starting 1
steal 1
tag 1
take 1
tate 3
tates 2
teenage 1
tharpe 1
that 1
the 34
their 2
they 1
thing 1
things 1
this 1
through 2
time 2
tinnie 1
to 19
trading 1
trip 1
triplets 1
truth 1
try 3
tunfaire 1
turns 1
ugly 1
underworld 1
untimely 1
upon 1
vampire 4
vampires 2
wants 1
war 2
was 1
when 2
which 1
who 2
will 2
with 7
woman 1
working 1
zack 2
zeck 1
