27796919
/m/0bwm2lq
/m/0bwm2lq
Rick Riordan
2010-10-12
a 19
about 1
aeolus 2
aeoluss 1
after 6
age 1
all 1
also 1
although 1
and 19
annabeth 2
anything 1
aphrodite 2
apprehended 1
are 7
arrive 2
arrives 1
artemis 1
as 6
aspect 1
assistant 1
at 3
attacks 1
awakens 1
back 1
battle 2
be 3
become 1
been 2
before 1
being 1
best 1
book 1
boyfriend 1
brother 1
bus 1
but 2
by 3
call 1
camp 3
camps 1
canyon 1
captive 1
captured 2
castle 1
champion 1
chariot 1
children 1
class 1
classmate 1
coach 2
coins 1
counterpart 1
daughter 2
defeat 1
demigod 2
demigods 1
destroyed 1
disappears 1
discover 1
discovers 2
dream 1
during 3
dylan 1
earth 1
enceladus 1
encounter 1
end 1
enemies 1
ensuing 1
escape 1
everyone 1
expected 1
father 2
field 1
fight 5
first 1
fleeing 1
flying 1
for 3
former 1
francisco 3
free 1
friend 1
from 4
full 1
fully 1
gaea 3
giant 2
giants 2
girlfriend 1
given 1
gleeson 1
goddess 2
gods 1
grace 1
grand 1
greek 1
guy 1
had 3
halfblood 2
has 3
have 1
he 8
hedge 2
hephaestus 1
her 2
hera 6
hero 1
heroes 1
him 3
himself 2
his 4
hole 1
hopes 1
house 2
hunter 1
hunters 2
in 7
including 1
into 3
is 12
it 1
jackson 2
jason 11
juno 1
jupiter 1
kidnapped 1
kill 1
king 1
known 1
landing 1
last 1
later 1
leader 1
leo 4
life 1
like 1
look 1
looking 1
manage 2
mclean 1
meet 2
meeting 1
mellie 1
memory 2
missing 1
mtdiablo 1
name 1
near 1
nearly 1
next 1
no 1
not 1
of 13
off 1
on 2
one 3
opens 1
or 2
orders 2
other 1
out 1
overthrow 1
part 1
past 1
people 1
percy 4
piper 6
piperand 1
place 1
porphyrion 1
promises 1
quest 2
realizes 1
remember 1
remembers 1
rescue 2
respectively 1
result 1
returning 1
reunite 1
revealed 1
reveals 1
rises 1
roman 3
rush 2
san 3
satyr 1
save 2
say 1
school 1
seeking 1
seen 1
separated 1
set 1
she 2
shoe 2
shortly 1
since 1
sitting 1
somewhere 1
son 3
soon 1
spirit 2
spirits 1
starts 1
storm 2
surprises 1
switched 1
sword 1
taken 2
tells 1
thalia 5
thanks 2
that 7
the 38
their 3
them 1
themselves 1
then 1
there 3
they 10
this 2
though 1
three 2
to 23
together 1
told 2
trio 4
trip 2
turns 3
two 2
ultimately 1
unable 1
under 2
up 1
upset 1
uses 1
valdez 1
venti 1
vision 1
was 2
way 1
when 2
where 2
which 2
who 11
will 1
with 4
wolf 2
work 1
working 1
would 1
zeus 3
