11068321
/m/02qzyfc
/m/02qzyfc
Fredric Brown

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
164 1
26 1
37yearold 1
a 9
able 1
about 1
alien 1
all 1
and 4
at 1
be 2
begins 1
being 1
billion 1
but 1
by 2
cabin 2
calling 1
car 1
come 1
considers 1
desert 1
desire 1
deveraux 3
disappear 1
divorced 1
door 1
drunk 1
drunken 1
earth 1
failure 1
find 1
forgetting 1
green 1
hallucination 1
has 1
have 1
he 5
himself 2
his 3
holes 1
humiliate 1
in 2
insists 1
insult 1
intangible 1
intention 1
is 4
it 1
knocks 1
leaves 1
little 2
luke 4
mack 1
man 1
march 1
marriage 1
martian 3
martians 2
materials 1
mind 1
new 1
novel 1
of 3
on 3
opaque 1
opens 1
other 1
out 1
painful 1
protagonist 1
proves 1
realises 1
scifi 1
see 1
sees 1
someone 1
story 2
sudden 1
than 1
that 3
the 9
thinking 1
through 1
to 8
turns 1
uncourteous 1
up 1
very 1
was 1
when 2
who 2
wife 1
will 1
with 1
writer 1
writing 2
wrong 1
