9954158
/m/02px_2t
/m/02px_2t
Ira Ishida


a 17
acting 1
adds 1
after 2
ai 2
akiba 4
akihabaradeep 2
all 1
an 3
anchor 1
and 5
approach 1
artificial 2
as 1
assemble 1
at 1
attacks 1
attempt 1
attention 2
attracts 2
back 1
bashed 1
be 1
because 2
become 1
began 1
begins 1
behind 1
benefit 1
between 1
bullying 2
by 2
cafe 4
call 1
called 1
capital 2
case 1
cases 1
character 1
clearing 1
come 1
company 3
cosplayer 1
cosplayers 1
create 1
creation 1
crook 2
decide 1
decides 1
dedicated 1
deep 5
depicting 1
digicap 3
digital 2
distribution 1
drama 1
dressing 1
each 1
electronics 1
eliminate 1
engine 2
enraged 1
even 1
eventually 1
example 1
extremely 1
failed 1
find 1
first 1
for 1
form 2
forming 1
frequent 1
from 5
fully 1
get 1
getting 2
google 1
got 1
greatly 1
group 4
had 1
hands 1
have 1
he 3
headquarters 1
help 1
helping 1
himself 1
his 1
hostile 1
if 1
in 2
include 1
influential 1
intelligence 2
intentions 1
involved 1
is 5
it 3
just 1
lighthearted 1
maid 4
meet 1
more 2
much 1
must 1
mysterious 1
nakagomi 4
name 1
named 2
narrated 1
narrow 1
new 1
news 1
novel 1
of 18
often 2
on 2
one 1
online 2
opposing 2
otaku 2
other 3
out 1
outcasts 2
over 1
past 1
people 1
personality 1
plague 1
point 1
popular 1
president 2
previously 1
problem 1
problems 1
program 1
prostitution 1
protecting 1
provided 1
raid 1
reason 1
relationship 1
rid 1
rooms 1
search 3
secret 1
seedy 1
seek 1
selfreliant 1
services 1
she 1
shortened 2
solves 1
solving 1
some 1
steal 1
steals 1
story 2
surge 1
take 1
takes 1
takeshi 2
taking 1
task 1
tasks 1
technology 2
than 1
that 9
the 22
their 3
them 1
then 1
these 3
they 2
this 9
through 1
to 16
troubleshooting 2
try 1
under 1
underground 1
understand 1
undressed 1
unintentionally 1
up 1
user 1
uses 1
various 1
very 1
videos 1
view 1
visitors 1
was 2
way 1
website 1
well 1
were 1
what 1
when 1
while 1
who 3
will 2
worked 1
would 2
youth 1
yui 3
