1245725
/m/04lsb3
/m/04lsb3
Ivan Turgenev
1862-02
{"/m/05qt0": "Politics", "/m/02xlf": "Fiction", "/m/037mh8": "Philosophy"}
a 14
advocate 1
after 2
against 1
almost 2
along 1
already 1
also 1
an 5
and 22
announces 1
are 1
arkady 9
arrives 1
as 1
at 9
autopsy 1
awkward 1
bazarov 12
beautiful 1
because 4
become 1
becomes 1
being 1
beliefs 2
between 1
blows 1
both 2
brief 1
brother 1
but 2
by 6
called 2
cannot 1
challenges 1
change 1
child 1
circle 1
comes 1
continues 1
contracts 1
coolly 1
country 1
course 1
dated 1
day 1
days 2
deathbed 1
decide 2
declaration 1
delighted 1
difficult 1
distressing 1
disturbed 1
do 1
does 1
drawn 1
dresden 1
duel 1
each 1
elegant 1
engaged 1
enjoys 1
enthusiastically 1
especially 1
estate 4
eventually 1
excuse 1
fails 1
fallen 1
falling 1
father 4
feels 1
fenichka 4
few 2
find 1
finding 1
for 7
friend 2
from 1
gentry 1
germany 1
get 1
gives 1
gladly 1
go 1
goes 1
graduated 1
had 1
harmless 1
has 3
have 4
he 10
hear 1
her 7
him 3
himself 1
his 18
home 7
hour 1
house 1
how 1
immediately 1
in 10
increases 1
independent 1
instead 1
into 1
invites 1
is 7
just 1
katya 4
keep 1
kirsanov 1
kiss 1
leave 4
leaves 1
life 1
live 1
lives 1
local 1
longer 1
lot 1
love 4
loves 1
madame 6
makes 1
management 1
marino 5
marries 2
means 1
meanwhile 1
meet 2
men 3
mind 1
modest 1
must 1
neighboring 1
new 1
nihilism 1
nikolai 3
nikolskoe 3
no 1
noble 1
not 1
observe 1
observed 1
odintsova 7
of 7
on 3
once 1
one 1
only 1
or 1
order 1
other 1
outlying 1
over 2
own 1
parents 2
partially 2
particular 1
pavel 5
performing 1
period 1
petersburg 1
philosophy 1
playing 1
precautions 1
proper 1
province 2
quick 1
realizes 1
received 1
receives 2
rejection 1
relationship 1
relative 1
remain 2
remains 1
research 1
respond 1
rest 1
return 2
returns 1
russia 1
scientific 1
secretly 1
see 1
sends 1
servant 1
she 2
short 2
sister 2
slightly 1
so 1
some 1
son 3
soon 2
spend 1
stay 1
stays 1
still 1
stops 1
strange 1
take 1
taken 1
takes 1
talking 1
tell 1
tension 1
that 1
the 12
their 1
them 2
themselves 1
then 2
there 2
they 8
this 1
time 2
to 21
two 2
typhus 1
university 1
upset 1
views 1
visit 1
which 3
while 1
who 3
with 10
woman 1
work 1
wounded 1
young 3
