22812078
/m/063zw9k
/m/063zw9k
Colin Dann
1985
{"/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 32
able 1
about 6
accept 1
across 5
adder 19
after 4
afterwards 2
again 4
against 1
age 1
agree 1
air 1
all 8
allows 1
along 1
also 2
although 1
an 5
and 77
animal 4
animals 19
another 3
any 1
anything 1
applies 1
are 8
area 3
around 1
arrives 3
as 12
asked 1
asking 1
asks 6
at 3
attack 2
attempt 1
audience 1
awakened 1
away 4
back 5
badger 14
badgers 1
bank 1
be 6
beast 40
been 1
before 5
being 3
believe 1
bide 1
big 1
bold 1
bounds 1
bright 1
but 21
by 8
call 1
called 1
calling 1
can 3
cant 1
carcass 2
carrying 1
cat 12
cats 1
causing 1
cautiously 1
celebrate 1
chamber 3
charmer 1
clues 2
come 3
comes 3
copse 2
could 2
creature 7
creatures 1
cry 1
cubs 1
dawn 1
day 1
dead 2
decided 1
decides 7
deer 10
descendents 1
description 1
deserted 1
developments 1
died 2
digs 2
disappeared 1
discover 1
discovered 1
discovers 5
disperse 1
distance 1
distracted 1
ditch 1
do 3
does 2
doesnt 1
doing 1
down 4
drinks 1
driving 1
drops 1
during 1
each 1
easily 1
ediable 1
else 1
end 1
enter 1
escape 1
escapes 1
evening 2
eventually 5
ever 1
every 1
evidence 1
exchange 1
exit 1
expedition 1
explains 1
eyes 2
falls 1
farthing 4
father 1
fawn 1
feed 1
female 5
fetch 1
few 2
fierce 1
finally 1
find 5
finding 2
finds 3
first 1
fishing 1
flies 3
fly 1
focus 1
follow 1
food 1
footprints 2
for 13
force 1
found 1
fox 12
foxes 9
friendly 9
friends 1
frog 1
from 8
further 1
gather 1
gathered 1
gathers 1
gets 1
giant 1
gives 1
go 5
goes 2
gone 2
grabs 1
graceful 1
ground 2
group 3
guard 1
gun 1
had 2
happened 2
hare 1
has 13
have 7
he 26
head 4
heads 3
hear 1
hears 1
help 1
her 2
herd 1
hiding 1
him 21
himself 2
his 10
hole 3
how 2
however 3
huge 1
humans 1
hunt 2
husky 5
idea 2
if 2
immediately 3
impress 1
in 22
influx 1
inform 2
information 1
informs 2
inhabitant 1
inhabitants 3
initially 1
inside 3
insists 1
instant 1
instead 4
instructs 1
interest 3
into 4
is 24
it 21
its 10
itself 1
jaws 1
join 2
judge 1
just 2
keep 2
kestrel 1
killed 2
killing 3
kills 3
knocking 1
know 1
knowing 1
known 1
lair 3
laps 1
larder 1
large 8
later 3
lays 1
leads 1
leaping 1
leaps 1
leave 5
leaves 2
left 2
let 1
lets 1
leveret 1
like 1
living 2
long 2
longer 1
look 2
looking 4
lookout 1
looks 1
loses 1
losses 1
loud 1
loudly 1
lure 1
made 1
makes 1
making 1
male 1
many 1
mate 2
mating 1
may 1
meanwhile 1
meeting 2
meets 1
menacing 1
might 1
mirthful 1
mole 4
more 1
mossy 8
most 1
moved 1
must 2
named 1
native 1
nature 1
near 3
nearly 1
needing 1
nests 1
news 1
next 1
night 1
no 5
none 1
not 5
nothing 2
notice 2
notices 3
now 2
oath 1
of 39
off 5
offer 1
old 1
on 7
once 1
one 1
ones 1
only 2
or 1
original 1
other 6
others 1
out 5
outside 3
over 1
owl 12
pace 1
park 18
patrols 1
paw 2
paws 1
pen 1
perimeter 2
plan 2
pledge 1
poisoning 1
pond 1
poohpoohs 1
powerless 2
pretend 1
prints 2
promises 1
pull 1
pursue 1
pursues 2
quickly 1
rabbit 1
rabbits 1
raids 1
rampage 1
ranger 4
reach 2
realise 3
realises 2
refuge 1
refuses 1
regularly 1
relatives 1
releases 1
remains 2
reminds 1
remove 1
report 1
reserve 5
rest 1
restock 1
return 2
rises 1
risk 1
roars 1
rounded 1
rushes 1
rusty 1
safe 1
sake 1
same 1
saw 1
says 1
search 5
searching 1
season 1
see 2
seen 6
sees 2
set 2
setting 1
several 1
she 6
shelter 1
should 1
shouts 1
showing 1
shows 1
side 1
sight 1
sighting 1
sightings 1
sinuous 2
slay 1
sleep 1
sleeping 2
slides 1
small 2
smaller 2
so 7
some 3
something 3
somewhere 1
son 4
soon 2
spoken 1
spot 1
spots 1
spread 2
spring 2
starts 2
states 1
stay 1
still 1
stir 1
stop 1
stores 1
story 1
strange 1
stream 6
such 1
suggestion 1
suggests 2
sun 1
sunbathe 1
suspects 1
take 2
takes 2
talking 1
talks 1
tawny 9
tell 5
tells 12
terrified 1
territory 1
terror 1
that 30
the 159
their 2
them 9
then 7
theory 2
there 2
these 3
they 16
theyre 2
think 1
thinks 2
third 1
this 7
though 1
thought 1
through 1
time 1
tired 1
to 60
toad 6
together 3
too 1
towards 1
toys 1
track 1
trail 3
trap 2
traps 2
tree 4
tries 3
trip 1
try 1
trying 1
two 2
unable 3
underground 4
undergrowth 1
unsuccessful 1
until 2
up 8
use 1
very 2
vixen 3
vixens 1
volunteers 1
wait 1
wakes 2
warden 8
warn 1
was 3
washes 1
watch 3
watched 1
watches 1
way 1
weasel 2
weasels 1
what 5
when 2
where 1
whether 3
which 2
while 1
whistler 7
white 5
who 4
will 3
winter 1
with 9
within 1
without 1
wood 4
woodland 2
word 2
worms 1
would 1
yield 1
young 5
younger 1
