15117262
/m/0c__c2
/m/0c__c2
Tanith Lee

a 12
accidentally 1
after 2
amuse 1
an 2
and 6
animal 1
anymore 1
anyone 1
as 1
attempts 2
avail 1
be 1
beauty 1
become 1
belongs 1
body 1
book 1
but 2
by 1
causing 1
child 3
city 4
close 1
computers 1
connection 1
connections 2
considers 1
death 1
demanding 1
desert 1
deserts 1
determine 1
devastating 1
die 1
difficult 1
does 1
domes 1
dreams 1
drugs 1
during 1
elaborate 1
else 1
embarks 1
emotional 3
employing 1
emptiness 1
ends 1
every 1
expedition 2
explore 1
feels 2
fill 1
find 1
finds 1
fluffy 1
for 2
fortieth 1
friend 1
gains 1
going 1
have 2
having 1
her 8
herself 4
his 2
however 2
if 1
in 2
incapable 1
including 1
increasingly 1
insensitivity 1
interest 1
is 4
it 1
jang 1
job 1
joins 1
keeps 1
killed 1
kills 1
lasting 1
legal 1
life 3
like 1
looking 1
make 1
making 1
mundane 2
narrator 3
new 1
no 1
not 2
of 6
offended 1
older 1
on 1
opens 1
or 1
outside 2
partner 1
peers 2
perform 1
person 1
pet 3
programming 1
quasirobots 1
ready 1
realizes 1
really 1
returning 1
rituals 1
robots 1
run 1
series 1
sex 1
she 13
should 1
somewhere 1
soon 2
stealing 1
still 1
stolen 1
strong 1
suicidebybirdplane 1
suitable 1
task 1
teenager 1
that 2
the 15
then 3
this 1
though 1
through 1
to 11
tries 2
unable 3
unsatisfying 2
up 1
upon 1
useful 2
variety 1
visiting 1
white 1
who 1
wide 1
with 6
wonders 1
