4263569
/m/0bt0f9
/m/0bt0f9
Trudi Canavan
2001
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy"}
a 8
accidental 1
administrator 1
aid 1
akkarin 1
although 1
an 1
and 15
apparent 1
are 4
around 1
as 1
at 2
attempt 2
attempts 1
away 1
barrier 1
be 1
before 1
begins 1
benign 1
betray 1
black 1
blackrobed 2
blood 1
both 1
but 2
by 3
capital 1
care 1
cery 3
city 3
compassion 1
continues 1
control 2
covered 1
dannyl 1
decides 1
discovered 1
distrusts 1
drive 1
dwell 1
dwells 3
each 1
enter 1
eventually 1
examination 1
family 1
far 1
fearing 1
fears 1
fergun 6
fight 1
finding 1
fire 1
fit 1
flees 1
for 5
forbidden 1
friend 2
friends 1
gain 1
gang 1
gather 1
goes 1
guild 7
guilt 1
harm 1
have 1
having 1
he 1
head 1
her 13
herself 1
home 1
how 1
however 1
hurls 1
imardin 1
in 6
increasingly 1
inhabitants 1
injures 1
injury 1
into 2
is 3
it 1
join 1
kidnap 1
knowledge 1
kyralia 2
lack 1
last 1
lead 1
locates 1
lord 6
lords 1
lorlen 1
lose 1
magic 3
magical 2
magician 6
magicians 2
members 1
memory 1
mental 1
mentorship 1
not 1
observes 1
of 11
on 1
only 1
or 1
order 1
own 1
performing 1
plans 1
poor 2
potential 1
powers 1
practising 1
protected 1
prove 2
purged 1
repeatedly 1
reprisal 1
return 1
reveal 1
rite 1
rock 1
rocks 1
rogue 1
rothen 3
search 1
searching 1
see 1
seeking 1
servant 1
setting 1
shady 1
she 2
shielduntil 1
sinister 1
slums 2
sneaks 1
so 1
sonea 10
stand 1
strange 1
streets 1
submits 1
surroundings 1
sway 1
take 1
that 2
the 24
their 5
them 1
then 1
thieves 1
those 1
though 1
threaten 1
through 1
throw 1
thus 1
to 16
train 1
training 1
trial 1
truthreading 1
uncontrolled 1
under 1
underclass 1
uninterested 1
unsuccessful 1
value 1
wants 1
which 1
who 3
will 2
winter 1
with 2
worried 1
young 2
