6433600
/m/0g55lx
/m/0g55lx
Donald Hamilton
1969
168 2
175 1
8 1
a 23
able 1
about 1
accomplish 1
accumulate 1
action 1
actually 1
affiliations 1
after 3
again 1
agency 6
agent 2
agents 1
aid 1
alaska 1
all 1
also 3
although 1
ambush 2
americancanadian 1
an 8
and 17
another 1
anticipated 1
antivietnam 1
any 2
apparent 1
apparently 4
appearance 1
appears 2
are 5
as 10
assassination 1
at 7
attacks 2
attempt 1
automakers 1
automatic 1
avenge 1
avoided 1
be 2
beautiful 2
been 7
behind 1
being 1
big 1
black 1
blindly 1
bodies 1
book 4
bookand 1
books 6
both 4
bound 1
but 5
by 11
cabin 1
called 1
candidate 1
care 1
carried 1
carry 3
cause 1
chaos 1
character 2
characters 1
cheaper 1
chinese 1
choke 1
close 1
coastal 1
come 1
commercial 1
communist 1
communists 1
complete 2
completed 1
complicated 1
complications 1
conflicting 1
considered 1
contracted 1
could 1
counterassassin 1
course 1
critical 1
crosspurposes 1
currently 1
cute 1
dangerous 1
dashboard 1
days 1
dead 2
deal 1
death 1
decorated 1
dedicated 1
deficiencies 1
delivery 1
demonstrations 1
detroit 1
device 2
different 1
directed 1
directly 1
director 1
dog 1
drivers 1
earlier 1
effective 1
either 2
elected 1
elections 1
enable 1
encumbered 1
end 1
enemy 3
engine 1
enough 1
even 1
f 1
fact 1
falls 1
feature 2
featured 1
features 1
feeble 1
female 2
few 1
final 1
finally 1
finds 1
first 1
firstyear 1
fisherman 1
five 1
foot 1
for 8
forestall 1
forthcoming 1
fourinchbladed 1
frantic 1
frequently 1
from 2
future 1
gadgets 1
get 1
given 1
god 1
good 1
government 3
grant 2
grimly 1
groups 1
guns 1
had 4
hamilton 4
hand 2
hans 1
happens 1
has 7
have 3
he 9
helm 15
help 1
here 1
herself 1
him 1
himself 1
his 7
holz 2
how 1
however 4
howling 1
id 1
idea 1
if 1
in 23
information 1
inserted 1
instructions 1
interested 1
interlopers 4
into 5
is 13
it 6
just 1
kennedy 1
kill 1
kills 1
king 1
kingston 2
knife 2
knob 1
knowing 1
known 1
labrador 2
last 1
learns 1
least 3
leaving 1
less 1
let 1
likes 1
little 2
lookalike 1
loose 1
lot 1
loyalties 1
luther 1
mac 5
major 1
makes 1
man 1
manages 1
many 2
martin 1
may 1
me 3
meant 1
menacers 1
michael 1
mickey 1
microfilm 2
microfilms 1
minor 1
mission 3
modernday 1
moment 2
more 2
most 1
mostly 1
motel 1
mouse 1
mr 1
murdered 1
murderous 1
mysterious 2
named 2
need 1
next 1
no 2
northwest 2
not 4
november 1
now 1
numerous 1
nystrom 4
obliged 1
obtain 1
obtaining 1
obvious 1
occasional 1
occasionally 1
occurs 1
of 31
offer 1
on 5
once 1
one 5
operation 1
operative 1
operatives 1
or 6
ordered 1
other 2
out 4
own 4
page 3
paragraph 1
party 1
patriotic 1
physical 1
place 1
planned 1
plans 1
play 1
playing 1
plot 2
points 1
policemen 1
political 2
position 1
powerful 1
presumably 1
previous 1
project 2
pull 1
pup 2
purposes 1
questionable 1
reappears 1
recently 2
recruited 2
recuperation 1
reflect 1
reflects 1
regardless 1
rehabilitation 1
remove 1
resembles 1
responsible 1
rest 1
right 1
rival 1
robert 1
role 1
roles 1
rugged 1
runs 1
rushing 1
safe 1
sake 1
saw 1
scene 1
second 2
secret 4
security 1
semicrosspurposes 1
send 1
sent 1
sentimentality 1
series 1
set 1
seven 1
severely 1
show 1
simpler 1
since 1
single 1
six 1
sleep 1
small 1
so 1
socalled 1
somewhat 1
soo 1
soviets 1
spiritual 1
spite 1
stalk 1
standard 3
states 1
stories 1
story 2
stupid 1
successfully 1
supercompetent 1
superforesighted 1
supposed 1
surrounded 1
survives 1
system 1
take 3
tension 1
tested 1
than 1
that 9
the 55
their 3
themselves 1
there 3
these 1
third 1
this 4
threeword 1
through 1
throughout 1
thwart 2
time 2
times 1
to 31
too 1
trained 1
trainee 1
travels 1
troubled 1
truck 2
trying 1
turmoil 1
turning 1
two 2
unexpectedly 1
united 1
unseen 1
up 2
upcoming 1
us 2
usual 1
various 2
vehicles 1
very 2
veteran 1
waking 1
was 4
weakness 1
well 2
when 1
which 2
whichever 1
who 1
whod 1
whom 1
whose 1
wigpickers 1
will 1
wishes 1
with 6
woman 1
women 1
woodman 2
woodmanpermanently 1
worked 3
working 1
written 1
year 1
yearold 2
