11807842
/m/02rt6gs
/m/02rt6gs
Lloyd Alexander

{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
36 1
a 27
accidentally 1
actually 1
adikavi 3
affections 1
after 2
against 1
agrees 1
akka 1
aksha 1
all 1
already 1
amusement 2
an 4
and 15
announces 1
another 1
anthill 1
any 2
anyone 1
approaching 1
are 3
arrive 1
arrives 2
arvati 2
as 5
ashwara 6
at 2
atop 1
attacked 1
attempted 1
attend 1
audience 1
avoid 1
awoken 1
bala 5
be 1
beautiful 2
because 4
been 2
before 3
being 3
between 1
black 1
bondage 1
brahmana 2
brings 1
brothers 1
but 3
buzzard 1
by 7
called 3
calls 1
captors 1
captured 1
carries 1
carved 1
cautiously 1
cementlike 1
challenge 1
chapters 1
charged 1
choice 1
choose 1
chooses 1
choosing 3
city 1
claims 1
clearing 1
clothing 1
code 1
come 2
commander 1
companion 1
compete 1
conduct 1
confrontation 1
continue 1
courtesy 1
courtiers 1
cousin 1
cowgirls 1
crier 1
cruelly 1
dandavana 1
darshan 1
dealing 1
debt 1
decide 1
decision 1
declares 1
demanding 1
demon 1
demonic 1
destroyed 1
dharma 1
dice 1
discovers 2
dishonor 1
disobeying 1
do 1
dragged 1
dream 1
durbar 2
each 1
eagle 1
elected 1
elephant 2
emerges 1
encounter 1
engage 1
enormous 1
enslaved 1
entangled 1
even 1
eventually 1
ever 1
exiled 2
faithful 1
fall 1
falls 1
false 1
fictional 2
finally 2
find 1
finding 1
finger 2
fire 1
first 1
fit 1
fleeing 1
flower 1
fly 1
for 8
forest 2
found 1
four 1
from 3
furious 1
game 1
games 1
garuda 3
general 1
gets 1
given 1
giving 1
good 1
gopis 1
ground 1
group 3
had 1
hall 1
hands 1
happen 1
harm 1
has 9
hashkat 4
hateful 1
having 1
he 17
head 1
her 1
him 4
himself 1
his 13
honorbound 1
house 1
how 1
hunters 1
important 2
in 16
increasing 1
inside 1
instead 1
intervention 1
into 2
intrudes 1
iron 2
is 23
it 2
iv 1
jaya 13
jewel 1
jewels 1
job 1
joins 2
kana 1
killed 1
king 9
kingdom 2
known 1
kshatriya 1
large 2
leave 2
leaving 1
left 1
lesser 1
life 3
light 1
longer 1
look 1
loses 1
lotus 1
lunges 1
mahapura 2
maharajah 1
maidens 1
make 1
man 2
matchup 1
matter 1
matters 1
meet 1
men 2
mentor 1
messenger 1
military 2
mirri 4
mission 2
monkey 2
monkeys 1
more 2
most 2
mud 1
muktara 3
naga 1
nahusha 7
naked 1
named 3
narrative 1
nearly 1
neither 2
nests 1
net 1
never 1
no 5
none 1
nor 1
north 4
not 2
obeys 1
of 27
on 6
once 1
one 1
only 2
opponent 1
order 1
out 2
owes 1
own 1
paints 1
pair 1
palace 1
part 4
parts 1
party 3
passing 1
pessimistic 1
pity 1
placed 1
places 1
plan 1
play 1
plead 1
point 1
precious 1
pressing 1
prince 1
procession 1
proof 1
protection 1
pulls 1
quickly 1
raja 1
rajaswami 4
rakshasa 1
ran 1
ranapura 2
reaches 1
realm 2
recapture 1
referred 1
remember 1
reminds 1
respect 1
restores 1
retrieve 1
reunite 1
reveals 1
revered 1
ride 1
ring 3
river 1
riversnake 1
road 1
roll 2
royal 1
ruby 3
rudely 1
rules 1
ruthless 1
sage 1
same 1
sap 1
sapphire 1
save 2
saved 2
saves 1
says 1
screaming 1
sees 1
serpent 1
set 1
sets 1
shape 1
she 3
shesha 4
should 2
side 1
sign 1
skill 1
snake 2
so 1
soldiers 1
species 1
standing 1
steal 1
strength 1
struggle 1
stuck 1
subjects 1
successive 1
suddenly 1
sundari 1
support 1
supreme 1
surfaces 1
suta 1
take 2
talking 2
tamar 22
tells 1
than 2
that 10
the 60
them 3
then 1
there 3
therefore 2
they 8
thing 1
this 3
thornbushes 1
thousands 1
throne 1
through 2
ties 1
tiny 1
to 30
told 1
traditional 1
trap 1
travel 1
travels 1
treachery 1
true 1
trying 1
twice 1
unable 1
under 1
unfair 1
until 1
unwritten 1
up 1
upon 3
usurped 1
village 1
violent 1
wager 1
wagers 1
warned 1
was 4
water 1
weeds 1
well 1
when 4
whence 1
where 3
which 2
while 1
who 3
whose 2
will 3
with 11
within 1
without 1
woken 1
world 1
wrestles 1
young 1
