28806378
/m/0dd9ssk
/m/0dd9ssk
David Weber
2010-09-28
{"/m/0l13q": "Alien invasion"}
15th 1
2010s 1
a 10
actually 1
admitted 1
advanced 1
advancement 1
adversary 1
against 1
agincourt 1
alien 2
aliens 1
all 1
alliance 2
allies 1
allowed 1
altruism 1
america 2
among 1
an 4
and 27
any 2
are 6
army 1
arrival 2
arrived 1
as 9
assessment 1
assorted 1
at 2
attack 2
attacked 1
attackers 2
attempting 1
basarab 1
base 3
bases 2
battle 1
be 2
become 1
becoming 1
been 1
before 4
begin 1
being 1
betray 1
between 1
bioweapon 2
black 1
bombardment 1
brought 1
buchevsky 1
build 1
by 8
capturing 1
carnivorous 1
carolina 1
carry 1
century 1
city 1
commander 2
completely 1
computer 1
concentrating 1
conflict 1
confronted 1
conquer 1
conquest 1
continue 1
creating 2
crippled 1
cruelty 1
decide 1
decides 2
designated 1
designed 1
destroy 3
destroyed 1
developing 1
differently 1
discovers 1
do 1
done 1
dracula 1
dreadnoughts 2
during 2
each 1
earth 9
efforts 1
eliminate 1
empire 3
enemy 1
energy 1
english 1
established 1
europe 2
evacuation 1
eventually 1
every 3
evils 1
evolved 1
exactly 1
except 1
expect 1
expecting 1
expedition 2
exterminate 1
extinction 1
family 1
feared 1
feign 1
feriocity 1
fleet 4
following 2
folly 1
for 4
forced 1
forces 3
forcing 1
forgive 1
fought 1
french 1
from 3
fully 1
galactic 2
get 1
ground 2
group 2
guerrilla 1
hacking 1
had 2
half 2
handiwork 1
happened 1
has 3
have 3
he 1
hegemony 9
height 1
hibernating 1
hidden 1
hijacked 2
hijackers 1
his 3
horrified 1
however 2
human 5
humanity 8
humans 10
hundred 2
immediately 2
immortal 1
impaler 1
in 9
industrial 1
inflict 1
initial 1
installation 1
instantly 1
into 1
involve 1
is 8
kept 1
killed 2
kind 1
kinetic 2
known 1
ku1720 1
lacked 1
land 1
landing 1
lasts 1
laying 1
leader 1
leading 1
leave 1
lesser 1
level 1
located 1
major 1
make 1
massive 1
mechanism 2
mighty 1
military 2
mindset 1
mircea 1
months 1
morality 1
more 1
natural 1
naval 1
nearby 1
nearly 3
never 1
new 1
newly 1
no 1
norm 1
north 3
not 1
now 2
observed 1
of 15
off 1
on 6
once 1
one 1
only 1
or 2
orbit 2
orbital 1
order 1
orders 1
other 2
out 4
outright 1
over 1
pacifist 1
people 1
planet 2
population 1
possesses 1
possession 1
proceeding 1
protect 1
race 2
races 2
rarely 1
rather 1
reach 1
reaches 1
reason 1
recent 1
released 1
reluctantly 1
remaining 1
remember 1
remnants 1
repulsed 1
research 1
rest 1
result 1
retaliate 1
reviewed 1
same 2
sea 1
second 1
see 2
seeing 2
send 1
sent 2
series 1
seven 1
several 1
shairez 1
ship 1
ships 2
shongair 1
shongairi 18
sign 1
similar 1
since 1
six 2
slain 1
slave 1
soldiers 1
species 2
specifically 1
stephen 1
strike 1
strikes 1
subjects 1
subjugate 1
submission 4
submit 1
subsequently 1
successful 1
such 1
surprised 1
surrender 2
survey 3
surviving 1
survivors 1
systems 1
targeted 1
technology 1
terran 1
than 1
that 4
the 67
their 10
them 4
they 3
thikair 5
this 1
times 1
to 25
transporting 1
two 3
unable 1
under 1
undoubtedly 1
united 1
unknown 1
value 1
vampires 4
violence 1
vlad 1
war 3
was 1
way 1
weapon 1
weapons 1
weeks 1
were 1
west 1
what 2
where 1
which 1
who 3
whom 1
whose 1
will 1
wipe 1
wiped 1
wiping 1
with 3
wolflike 1
worlds 1
would 2
xenoanthropologist 1
years 2
yet 1
