12952797
/m/02z158j
/m/02z158j
Rosemary Sutcliff
1961
{"/m/014dfn": "Speculative fiction", "/m/0hwxm": "Historical novel"}
a 7
accommodation 1
after 1
alreadychristian 1
also 1
among 1
and 9
are 2
arrival 1
as 1
at 1
augustine 1
battle 1
becomes 1
beginning 1
beyond 1
bond 1
border 2
brought 2
cause 1
celtic 1
celts 3
change 1
christianity 1
city 2
closer 1
common 1
country 1
dawn 1
dog 1
each 1
end 1
european 1
evolution 1
fights 1
finally 1
finds 1
follows 1
form 1
from 1
he 4
him 1
in 4
indigenous 1
into 1
invaders 1
is 1
isle 1
lands 1
later 2
learn 1
leave 1
left 1
lives 1
lord 1
mainland 1
meets 1
named 1
near 1
number 1
of 6
only 1
other 1
owain 3
person 1
place 1
point 1
reach 1
reference 1
regina 2
relations 1
return 1
reunited 1
ruins 1
saxon 1
saxons 4
sees 1
separated 1
spends 1
st 1
story 2
street 1
swamps 1
takes 1
the 26
them 1
there 1
they 2
this 1
thrall 1
title 1
to 7
together 1
trust 1
turning 1
urchin 1
viroconium 1
wales 1
welsh 1
when 1
where 1
who 1
wight 1
wind 1
with 3
wroxeter 1
years 1
