4118544
/m/0bk387
/m/0bk387
Piers Anthony
2000-10
a 10
ability 1
actually 1
affect 1
all 1
and 8
anyone 1
as 1
assistance 1
astonishment 1
at 1
awaited 2
awesome 1
bade 1
be 1
becka 5
been 1
beginning 1
belonged 1
boy 1
breadth 1
but 2
by 1
called 1
chance 1
common 1
conscience 1
could 1
country 1
craven 1
crossbreed 1
dangerous 1
dastard 3
daughter 1
demon 1
despairing 1
despicable 1
destiny 1
determined 1
detestable 1
devious 1
did 1
discover 1
discovered 2
dismay 1
distant 1
draco 1
dragon 1
dreaded 1
ends 1
erase 1
events 1
everyone 1
exchange 1
existed 1
far 1
fate 1
father 1
filled 1
flying 1
foot 1
for 2
found 1
fourteen 1
from 1
future 1
good 1
great 1
ground 1
had 1
hag 1
happier 1
happiness 1
have 1
he 4
heart 1
help 1
her 15
him 1
himself 1
his 4
history 1
honor 1
human 2
humfrey 2
in 6
journey 1
journeyed 1
kind 1
lacking 1
led 1
libertine 1
life 1
love 1
lovely 1
magic 1
magician 2
malevolent 1
man 2
meet 1
met 1
might 1
misery 1
mists 1
mother 1
much 1
mystery 1
now 1
of 10
offering 1
on 4
once 2
one 2
or 1
others 1
out 1
own 1
past 1
people 1
perilous 1
planetoid 1
power 2
preserve 1
ptero 1
purpose 1
rewrite 1
roamed 1
sea 1
search 1
selfloathing 1
set 1
share 1
she 3
skies 1
so 2
sold 1
soul 1
spring 1
statue 1
still 1
stronger 1
suit 1
surprise 1
talent 1
than 2
that 6
the 20
their 1
them 1
there 3
this 1
tiny 1
to 15
told 1
traveling 1
true 1
unhappen 1
unravel 1
used 1
virtue 1
vow 1
waiting 1
was 5
where 2
who 5
wide 1
width 1
with 3
woman 1
wonder 1
would 2
xanth 5
