20012627
/m/04ybslr
/m/04ybslr
Thomas Bernhard
1982
a 10
about 1
accept 1
actually 1
advice 1
ailment 1
alone 1
also 1
an 3
and 8
artistic 1
as 3
aspects 1
asylum 1
austrian 2
author 2
awarded 1
be 1
bernhard 2
best 1
blather 1
bout 1
brother 1
by 2
cafs 1
cars 1
coffee 1
conflict 2
confused 1
controlling 1
copiously 1
cousin 1
cruel 1
cultural 1
deals 1
determining 1
diderot 1
die 1
died 1
dissipated 1
do 1
drink 1
eccentric 1
emblem 1
emptiness 1
episodes 1
exclusive 1
fact 1
factor 1
fake 1
figure 1
finally 1
first 1
for 4
former 1
fortune 1
friendship 2
from 2
futile 1
gives 1
head 2
his 4
hospital 1
if 1
importance 1
in 5
incompetent 1
incurable 1
interesting 1
invariably 1
is 2
it 1
its 2
latter 2
lever 1
literary 1
living 1
ludwig 1
lung 1
madness 2
making 1
man 1
moments 1
music 1
narrates 1
narration 1
nephew 3
not 1
obsessed 1
of 12
on 3
only 1
own 1
parasitic 1
passion 1
paul 4
people 1
philosopher 1
pianist 1
piss 2
poor 1
preeminent 1
prize 2
prizes 2
race 1
rameau 1
recognitions 1
recovering 1
reference 1
rhythm 1
sailing 1
same 1
selfcongratulate 1
sense 1
sensitive 1
social 1
society 1
some 1
son 1
spending 1
strengthened 1
succeed 1
symptomatic 1
that 1
the 18
their 1
through 1
time 1
title 1
to 5
ultimately 1
unravels 1
unsuitable 1
used 1
vain 1
very 2
victim 1
viennese 1
want 1
well 1
whereas 1
whilst 1
who 3
whole 1
will 2
with 5
wittgenstein 4
world 2
worth 1
you 1
your 2
